model,horizon,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
bottomup_mix,1,0.6598095238095237,1050.0,955.0,418.6,-95.0,-0.09047619047619047,144.0
bottomup_mix,2,0.5274694261523989,1063.0,923.4000000000001,539.8,-139.6,-0.1313264346190028,144.0
bottomup_mix,3,0.5944157187176835,967.0,808.5,432.29999999999995,-158.5,-0.1639089968976215,144.0
bottomup_mix,4,0.516336166194523,1059.0,878.2,580.8,-180.79999999999998,-0.17072710103871575,144.0
bottomup_mix,5,0.5701818181818182,1100.0,971.5,521.5,-128.5,-0.11681818181818182,144.0
bottomup_mix,6,0.5723446893787576,998.0,960.6999999999999,463.90000000000003,-37.300000000000004,-0.037374749498998,144.0
bottomup_mix,7,0.6250474383301708,1054.0,874.7,426.90000000000003,-179.29999999999998,-0.17011385199240986,144.0
bottomup_mix,8,0.6734875444839857,1124.0,959.8,409.6,-164.2,-0.14608540925266902,144.0
bottomup_mix,9,0.5175889328063241,1012.0,921.7,523.4000000000001,-90.3,-0.0892292490118577,144.0
bottomup_mix,10,0.5869025735294118,1088.0,819.55,488.25,-268.45,-0.24673713235294117,144.0
bottomup_mix,11,0.5223562152133581,1078.0,883.9,561.5,-194.1,-0.1800556586270872,144.0
bottomup_mix,12,0.5492279745685741,1101.0,978.95,561.8499999999999,-122.04999999999998,-0.11085376930063577,144.0
bottomup_mix,13,0.5218323586744639,1026.0,964.5500000000001,520.1499999999999,-61.449999999999996,-0.05989278752436647,144.0
bottomup_mix,14,0.6327149321266968,1105.0,877.05,438.35,-227.95000000000002,-0.20628959276018102,144.0
bottomup_mix,15,0.6441179001721171,1162.0,962.6000000000001,458.89,-199.39999999999998,-0.17160068846815832,144.0
bottomup_mix,16,0.48355599214145384,1018.0,920.27,557.96,-97.72999999999999,-0.09600196463654223,144.0
bottomup_mix,17,0.542434668989547,1148.0,805.5250000000001,570.315,-342.475,-0.29832317073170733,144.0
bottomup_mix,18,0.5445257452574526,1107.0,873.01,550.16,-233.99,-0.21137308039747066,144.0
bottomup_mix,19,0.5325207986688852,1202.0,979.925,606.0050000000001,-222.075,-0.18475457570715473,144.0
bottomup_mix,20,0.4919216061185468,1046.0,961.085,556.445,-84.91499999999999,-0.08118068833652006,144.0
bottomup_mix,21,0.5707198612315698,1153.0,871.335,522.545,-281.66499999999996,-0.24428881179531653,144.0
bottomup_mix,22,0.5710690376569036,1195.0,969.8399999999999,543.9000000000001,-225.16,-0.188418410041841,144.0
bottomup_mix,23,0.4385100502512563,995.0,933.0450000000001,592.8050000000001,-61.954999999999956,-0.062266331658291416,144.0
bottomup_mix,24,0.571316343723673,1187.0,822.4275,548.5025,-364.5725,-0.30713774220724516,144.0
bottomup_mix,25,0.5145460304054055,1184.0,894.075,619.485,-289.925,-0.24486908783783784,144.0
