model,cate2_id,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
bottomup_mix,3,0.5978308552922126,13586.0,14917.7775,5908.647499999999,1331.7775000000001,0.09802572501104079,1008.0
bottomup_mix,4,0.3057615894039735,604.0,499.56499999999994,653.3399999999999,-104.43499999999999,-0.17290562913907284,336.0
bottomup_mix,5,0.28478406055209254,1123.0,924.865,1138.42,-198.13499999999996,-0.176433659839715,840.0
bottomup_mix,6,0.5431847406772397,16331.0,11216.502499999999,7672.797500000001,-5114.4975,-0.31317723960565796,1848.0
cate2_mix,3,0.6334954962222012,13586.0,14917.7775,5425.25628863245,1331.7775000000001,0.09802572501104079,1008.0
cate2_mix,4,0.3251877106417655,604.0,499.56500000000005,650.2787830356092,-104.435,-0.17290562913907284,336.0
cate2_mix,5,0.3701268010571418,1123.0,924.865,1035.39554847948,-198.135,-0.17643365983971504,840.0
cate2_mix,6,0.5717790041860442,16331.0,11216.5025,7201.848077660947,-5114.4974999999995,-0.3131772396056579,1848.0
cate2_prophet,3,0.6802561627940441,13586.0,13764.299494830782,4740.402426286795,178.29949483078252,0.013123766732723577,1008.0
cate2_prophet,4,0.32331886094623297,604.0,393.12872344643125,594.708968632891,-210.8712765535687,-0.3491246300555773,336.0
cate2_prophet,5,0.39846629432166475,1123.0,983.3758226910044,1005.2899437746873,-139.62417730899568,-0.12433141345413685,840.0
cate2_prophet,6,0.5483065486138207,16331.0,12855.1581872659,7624.08223901034,-3475.841812734099,-0.21283704688837787,1848.0
ensemble,3,0.6786026594283195,13586.0,13997.40497862469,4804.073960400252,411.4049786246897,0.030281538247069757,1008.0
ensemble,4,0.3363817618269498,604.0,414.41597875714507,598.1586964247022,-189.58402124285496,-0.31388082987227645,336.0
ensemble,5,0.37576485381001534,1123.0,891.8285705988443,1034.6405261593293,-231.17142940115576,-0.20585167355401227,840.0
ensemble,6,0.6126315799452936,16331.0,13477.65714398541,6586.6376341209425,-2853.3428560145885,-0.17471942048953454,1848.0
ensemble_bias_global,3,0.6432368922769406,13586.0,15791.896577461252,5340.650466385103,2205.8965774612516,0.16236541862661943,1008.0
ensemble_bias_global,4,0.36309183031971465,604.0,467.544826099847,607.3242839277823,-136.455173900153,-0.22591916208634602,336.0
ensemble_bias_global,5,0.3913759615444719,1123.0,1006.1625403586653,1059.880486280541,-116.8374596413346,-0.1040404805354716,840.0
ensemble_bias_global,6,0.6203247034877944,16331.0,15205.516168841441,6494.400857933661,-1125.4838311585593,-0.06891701862461326,1848.0
ensemble_bias_horizon,3,0.6432277995954804,13586.0,15766.667224838022,5341.077930008903,2180.66722483802,0.1605084075399691,1008.0
ensemble_bias_horizon,4,0.36440315688146524,604.0,468.24323572206833,606.7557666677885,-135.7567642779316,-0.22476285476478744,336.0
ensemble_bias_horizon,5,0.3898760022350962,1123.0,1008.6255477519978,1062.4765324698656,-114.37445224800231,-0.10184724153873759,840.0
ensemble_bias_horizon,6,0.6206538138353612,16331.0,15236.66513758164,6488.3797804028745,-1094.3348624183584,-0.06700966642694008,1848.0
ensemble_bias_item,3,0.6822145984947316,13586.0,13571.56497916927,4699.4841809363115,-14.435020830731073,-0.0010624923326020223,1008.0
ensemble_bias_item,4,0.39930679139032893,604.0,559.4615713221458,629.2186267672839,-44.538428677854164,-0.07373912032757311,336.0
ensemble_bias_item,5,0.3853103797681076,1123.0,1105.9034152942243,1067.5854860132147,-17.096584705775683,-0.015224029123575853,840.0
ensemble_bias_item,6,0.5946381340730345,16331.0,16983.53735930568,6947.230805778991,652.5373593056776,0.039956975035556765,1848.0
ensemble_residual_beta_0.3,3,0.6741938543060966,13586.0,14169.041768251249,4869.621290341209,583.0417682512468,0.04291489535192454,1008.0
ensemble_residual_beta_0.3,4,0.3381486599338501,604.0,418.5976404555782,599.206898478525,-185.40235954442187,-0.30695754891460575,336.0
ensemble_residual_beta_0.3,5,0.376107652417686,1123.0,900.8421088900066,1038.6065799296412,-222.15789110999344,-0.19782537053427734,840.0
ensemble_residual_beta_0.3,6,0.6143668446288,16331.0,13617.695577890183,6562.019694843306,-2713.304422109817,-0.1661444138209428,1848.0
ensemble_residual_beta_0.5,3,0.6702207568236271,13586.0,14283.466294668951,4927.365995104991,697.4662946689509,0.051337133421827684,1008.0
ensemble_residual_beta_0.5,4,0.3391084328893651,604.0,421.3854149212002,600.0374679536544,-182.6145850787998,-0.3023420282761586,336.0
ensemble_residual_beta_0.5,5,0.37621112569463244,1123.0,906.8511344174481,1041.3910571774477,-216.14886558255182,-0.19247450185445397,840.0
ensemble_residual_beta_0.5,6,0.6148574539177646,16331.0,13711.054533826695,6556.488000057692,-2619.9454661733034,-0.16042774270854837,1848.0
ensemble_residual_beta_0.7,3,0.665208609785726,13586.0,14397.890821086654,4999.227227128876,811.8908210866556,0.05975937149173087,1008.0
ensemble_residual_beta_0.7,4,0.33996625000232766,604.0,424.1731893868223,600.9296187576856,-179.82681061317777,-0.2977265076377115,336.0
ensemble_residual_beta_0.7,5,0.37614987649816906,1123.0,912.8601599448898,1044.3605177628933,-210.1398400551103,-0.18712363317463074,840.0
ensemble_residual_beta_0.7,6,0.6149678039131208,16331.0,13804.41348976321,6557.166319796002,-2526.586510236789,-0.15471107159615388,1848.0
ensemble_residual_beta_0.9,3,0.6595954586264964,13586.0,14509.874820290472,5079.148895666667,923.87482029047,0.0680019741123561,1008.0
ensemble_residual_beta_0.9,4,0.34086791539856737,604.0,426.8650112813035,601.7258169905757,-177.1349887186965,-0.29326984887201407,336.0
ensemble_residual_beta_0.9,5,0.3760591741859486,1123.0,918.6856262275692,1047.293179455923,-204.3143737724307,-0.18193621885345568,840.0
ensemble_residual_beta_0.9,6,0.6146784650242639,16331.0,13895.113340752774,6564.320882039885,-2435.886659247226,-0.14915722608825094,1848.0
ensemble_shape_0.30_level_light,3,0.652614361217849,13586.0,14762.652461184614,5183.12167003055,1176.6524611846135,0.08660771832655774,1008.0
ensemble_shape_0.30_level_light,4,0.34698431520242606,604.0,447.68877257331,606.72064056052,-156.31122742668998,-0.25879342289187085,336.0
ensemble_shape_0.30_level_light,5,0.3759555680043775,1123.0,941.1327018422224,1055.9705244717966,-181.8672981577775,-0.1619477276560797,840.0
ensemble_shape_0.30_level_light,6,0.6130606576661717,16331.0,14293.03869629341,6598.582331771068,-2037.9613037065894,-0.12479096832444979,1848.0
ensemble_shape_0.30_level_medium,3,0.6483651707533625,13586.0,14932.23019601858,5247.442423979841,1346.2301960185782,0.09908951832905773,1008.0
ensemble_shape_0.30_level_medium,4,0.3498892377395173,604.0,455.73025149916384,609.092871274197,-148.2697485008362,-0.24547971606098706,336.0
ensemble_shape_0.30_level_medium,5,0.37860877413737987,1123.0,954.9497030073676,1059.016700830542,-168.05029699263244,-0.14964407568355514,840.0
ensemble_shape_0.30_level_medium,6,0.614019815434748,16331.0,14315.612852789076,6583.208788327681,-2015.3871472109213,-0.12340867964061732,1848.0
ensemble_shape_0.30_level_off,3,0.6578081309739467,13586.0,14474.18446455268,5101.8926647515345,888.1844645526808,0.06537497898959817,1008.0
ensemble_shape_0.30_level_off,4,0.3414270856912734,604.0,433.89197780663477,602.9925721283691,-170.10802219336523,-0.28163579833338614,336.0
ensemble_shape_0.30_level_off,5,0.3701567546050785,1123.0,920.5051501301238,1053.5157641474705,-202.49484986987625,-0.18031598385563335,840.0
ensemble_shape_0.30_level_off,6,0.61171360655308,16331.0,14261.397126369378,6620.179763967192,-2069.602873630624,-0.1267284840873568,1848.0
ensemble_shape_0.30_level_strong,3,0.6454905067776497,13586.0,15043.82992880429,5290.975944120201,1457.8299288042895,0.107303836950117,1008.0
ensemble_shape_0.30_level_strong,4,0.35199263201818143,604.0,460.95368764033134,610.5702806193345,-143.0463123596686,-0.23683164297958378,336.0
ensemble_shape_0.30_level_strong,5,0.38005039015934056,1123.0,964.9104550671339,1061.7744724027139,-158.0895449328661,-0.14077430537209804,840.0
ensemble_shape_0.30_level_strong,6,0.6147641930179512,16331.0,14329.75888830403,6571.276669856375,-2001.2411116959693,-0.12254247208964358,1848.0
ensemble_shape_0.45_level_light,3,0.6372203622573116,13586.0,15007.263654076465,5399.400866345105,1421.2636540764645,0.1046123696508512,1008.0
ensemble_shape_0.45_level_light,4,0.3462717074931301,604.0,456.32142695795653,610.576760280793,-147.67857304204347,-0.24450094874510508,336.0
ensemble_shape_0.45_level_light,5,0.3706600918054307,1123.0,954.4414712345572,1067.798611643812,-168.55852876544287,-0.1500966418214095,840.0
ensemble_shape_0.45_level_light,6,0.6055572979849657,16331.0,14669.95858188923,6729.222537259254,-1661.0414181107706,-0.10171094348850472,1848.0
ensemble_shape_0.45_level_medium,3,0.6335966457154076,13586.0,15167.730712589298,5454.311378444016,1581.7307125892985,0.11642357666636968,1008.0
ensemble_shape_0.45_level_medium,4,0.3492224810632045,604.0,463.4601409508417,612.4934540331558,-140.53985904915828,-0.23268188584297728,336.0
ensemble_shape_0.45_level_medium,5,0.37322246971392736,1123.0,967.3675804866768,1070.537818747322,-155.63241951332304,-0.13858630410803477,840.0
ensemble_shape_0.45_level_medium,6,0.606605822349108,16331.0,14685.59584700505,6712.362626005549,-1645.4041529949513,-0.10075342312136129,1848.0
ensemble_shape_0.45_level_off,3,0.6420314084998926,13586.0,14726.63920974133,5324.119430055285,1140.63920974133,0.08395695640669291,1008.0
ensemble_shape_0.45_level_off,4,0.34153061233572196,604.0,443.714194325893,606.9707396487692,-160.28580567410702,-0.26537385045381956,336.0
ensemble_shape_0.45_level_off,5,0.36505612215297545,1123.0,934.7054586588888,1065.5768222081672,-188.29454134111126,-0.1676710074275256,840.0
ensemble_shape_0.45_level_off,6,0.604074458638751,16331.0,14642.589763082124,6753.065283041081,-1688.410236917877,-0.10338682486791237,1848.0
ensemble_shape_0.45_level_strong,3,0.6309747624378964,13586.0,15272.048227827278,5493.748109927353,1686.0482278272762,0.12410188634088593,1008.0
ensemble_shape_0.45_level_strong,4,0.3512966667497032,604.0,468.2151996269937,613.7093480043313,-135.7848003730063,-0.22480927214073892,336.0
ensemble_shape_0.45_level_strong,5,0.37451626539201166,1123.0,976.8137248531339,1073.1642287857715,-146.18627514686625,-0.13017477751279274,840.0
ensemble_shape_0.45_level_strong,6,0.6072749771072657,16331.0,14696.42937244017,6701.635855014738,-1634.570627559828,-0.10009005128649978,1848.0
ensemble_shape_0.60_level_light,3,0.6199936045656635,13586.0,15247.566240613924,5637.8088347273715,1661.5662406139231,0.12229988522110431,1008.0
ensemble_shape_0.60_level_light,4,0.344182977088901,604.0,461.17738902662865,614.0859577561339,-142.82261097337138,-0.2364612764459791,336.0
ensemble_shape_0.60_level_light,5,0.3643026442884869,1123.0,960.225563337568,1077.3195244887731,-162.77443666243195,-0.1449460700466892,840.0
ensemble_shape_0.60_level_light,6,0.5961580130469467,16331.0,14987.153858674848,6888.409774144417,-1343.8461413251528,-0.08228804980253217,1848.0
ensemble_shape_0.60_level_medium,3,0.616666649867956,13586.0,15402.824991382306,5688.319615270277,1816.824991382306,0.1337277337981971,1008.0
ensemble_shape_0.60_level_medium,4,0.3472179240934601,604.0,468.1754694617387,615.9176070103194,-135.82453053826126,-0.2248750505600352,336.0
ensemble_shape_0.60_level_medium,5,0.3669799109645666,1123.0,972.9606443565576,1079.7909988526185,-150.03935564344238,-0.13360583761660053,840.0
ensemble_shape_0.60_level_medium,6,0.5971456588708207,16331.0,14998.227634587553,6872.554718290191,-1332.772365412448,-0.08160996665314114,1848.0
ensemble_shape_0.60_level_off,3,0.6245038056903514,13586.0,14969.788290147404,5566.839541971289,1383.788290147404,0.10185398867565171,1008.0
ensemble_shape_0.60_level_off,4,0.3389950123097741,604.0,448.7084859917456,610.7585611154975,-155.2915140082544,-0.25710515564280534,336.0
ensemble_shape_0.60_level_off,5,0.35862114944368795,1123.0,940.3332036774636,1075.3058217692746,-182.66679632253636,-0.16265965834598073,840.0
ensemble_shape_0.60_level_off,6,0.5944329901331911,16331.0,14963.055131096695,6916.14240867977,-1367.9448689033056,-0.08376369290939352,1848.0
ensemble_shape_0.60_level_strong,3,0.6145095289621556,13586.0,15499.397601494933,5721.040542002912,1913.3976014949344,0.1408359783229011,1008.0
ensemble_shape_0.60_level_strong,4,0.3492369390569872,604.0,472.67866064415466,617.0333491596385,-131.32133935584528,-0.2174194360196114,336.0
ensemble_shape_0.60_level_strong,5,0.36846441725845364,1123.0,982.0037716405375,1081.927842879078,-140.9962283594625,-0.12555318642872884,840.0
ensemble_shape_0.60_level_strong,6,0.5978275624554213,16331.0,15002.321175283196,6861.399673535267,-1328.6788247168047,-0.08135930590391309,1848.0
hybrid_short_residual_beta_0.5,3,0.6638080232078672,13586.0,14480.762392536471,5029.61030181471,894.7623925364702,0.06585914857474387,1008.0
hybrid_short_residual_beta_0.5,4,0.3456392459496174,604.0,431.70615274316185,599.6325621887589,-172.29384725683815,-0.2852547140013877,336.0
hybrid_short_residual_beta_0.5,5,0.36418102060960406,1123.0,922.9160318092389,1070.0836780643294,-200.08396819076106,-0.17816916134529034,840.0
hybrid_short_residual_beta_0.5,6,0.6049332436800146,16331.0,14137.255721124888,6730.466270609952,-2193.7442788751114,-0.1343300642260187,1848.0
hybrid_short_residual_beta_0.7,3,0.6618255343275016,13586.0,14534.03574056335,5058.379246977325,948.0357405633497,0.06978034304161267,1008.0
hybrid_short_residual_beta_0.7,4,0.34601876257795916,604.0,432.92638268804603,600.0429783763802,-171.073617311954,-0.2832344657482682,336.0
hybrid_short_residual_beta_0.7,5,0.36413340725059357,1123.0,925.4525123990115,1071.2415053202433,-197.54748760098846,-0.17591049652803958,840.0
hybrid_short_residual_beta_0.7,6,0.6049970540012493,16331.0,14176.56399926369,6730.701316416094,-2154.436000736311,-0.13192309109891073,1848.0
hybrid_short_residual_beta_0.9,3,0.6596158898489491,13586.0,14587.30908859023,5090.234328096911,1001.3090885902295,0.07370153750848149,1008.0
hybrid_short_residual_beta_0.9,4,0.3463982792063008,604.0,434.14661263293016,600.4533945640014,-169.85338736706981,-0.2812142174951487,336.0
hybrid_short_residual_beta_0.9,5,0.3640762025075406,1123.0,927.988992988784,1072.4101037004373,-195.01100701121587,-0.17365183171078885,840.0
hybrid_short_residual_beta_0.9,6,0.6049578269902749,16331.0,14215.87227740249,6732.619064894542,-2115.127722597511,-0.12951611797180276,1848.0
item_prophet,3,0.6773992264993595,13586.0,13767.742184488015,4823.922974395808,181.7421844880149,0.013377166530841669,1008.0
item_prophet,4,0.32331886094623297,604.0,393.12872344643125,594.708968632891,-210.8712765535687,-0.3491246300555773,336.0
item_prophet,5,0.35366275414519266,1123.0,869.3114118996339,1061.6054535875983,-253.68858810036608,-0.22590257177236517,840.0
item_prophet,6,0.6076348973764854,16331.0,14212.629750369742,6684.946089174078,-2118.3702496302567,-0.1297146683993789,1848.0
item_prophet_shape_0.30_level_light,3,0.6572901690197374,13586.0,14582.157428668028,5125.069311804257,996.1574286680275,0.07332234864331132,1008.0
item_prophet_shape_0.30_level_light,4,0.3416772209325061,604.0,423.17716761679435,597.1560557729114,-180.82283238320562,-0.2993755503033206,336.0
item_prophet_shape_0.30_level_light,5,0.3511021043945608,1123.0,909.8423980168643,1083.895435357661,-213.1576019831357,-0.18981086552371834,840.0
item_prophet_shape_0.30_level_light,6,0.5983881650421282,16331.0,14664.385733342933,6847.3110654877255,-1666.6142666570652,-0.10205218704654125,1848.0
item_prophet_shape_0.30_level_medium,3,0.6523862473789054,13586.0,14795.491070276425,5199.478293922835,1209.4910702764237,0.08902481011897716,1008.0
item_prophet_shape_0.30_level_medium,4,0.34586047963553823,604.0,434.3968603883287,600.5167189070169,-169.60313961167128,-0.2807999000193233,336.0
item_prophet_shape_0.30_level_medium,5,0.3512372305749172,1123.0,921.9702555751569,1090.223777626138,-201.02974442484305,-0.1790113485528433,840.0
item_prophet_shape_0.30_level_medium,6,0.5986018807327076,16331.0,14673.646653132524,6844.285057660938,-1657.3533468674761,-0.1014851109465113,1848.0
item_prophet_shape_0.30_level_off,3,0.6616700173803294,13586.0,14214.44931211449,5052.279263891247,628.4493121144905,0.04625712587328798,1008.0
item_prophet_shape_0.30_level_off,4,0.3310689742762165,604.0,403.6388124154139,593.3953747894341,-200.36118758458608,-0.33172382050428156,336.0
item_prophet_shape_0.30_level_off,5,0.34894921789086375,1123.0,891.9381153696663,1076.871888717169,-231.06188463033365,-0.20575412700831136,840.0
item_prophet_shape_0.30_level_off,6,0.5978227621283515,16331.0,14645.607806467877,6855.86517491262,-1685.3921935321237,-0.10320202030078524,1848.0
item_prophet_shape_0.30_level_strong,3,0.6491134291059157,13586.0,14937.08966114415,5249.336984086596,1351.0896611441467,0.09944720014309927,1008.0
item_prophet_shape_0.30_level_strong,4,0.34868306108806996,604.0,441.7092641037117,602.7439838898009,-162.2907358962883,-0.2686932713514707,336.0
item_prophet_shape_0.30_level_strong,5,0.35106016592959466,1123.0,930.9134036918047,1095.2541317139267,-192.0865963081954,-0.17104772600907872,840.0
item_prophet_shape_0.30_level_strong,6,0.5988461720382016,16331.0,14677.83367899526,6840.651207951622,-1653.1663210047398,-0.10122872579785315,1848.0
item_prophet_shape_0.45_level_light,3,0.643667300243033,13586.0,14815.025376363534,5317.212082664879,1229.0253763635349,0.09046263626994958,1008.0
item_prophet_shape_0.45_level_light,4,0.3420494181149361,604.0,427.72605762617286,598.258281724147,-176.27394237382714,-0.2918442754533562,336.0
item_prophet_shape_0.45_level_light,5,0.34578330814532887,1123.0,920.2985924297412,1094.547078131613,-202.70140757025882,-0.18049991769390814,840.0
item_prophet_shape_0.45_level_light,6,0.5887251537077518,16331.0,14974.238823488944,7011.085663283096,-1356.7611765110541,-0.0830788792181161,1848.0
item_prophet_shape_0.45_level_medium,3,0.6390582232868016,13586.0,15019.907941269734,5386.758555929813,1433.9079412697342,0.10554305470850392,1008.0
item_prophet_shape_0.45_level_medium,4,0.3459531767726696,604.0,438.25700983535137,601.4576348443898,-165.74299016464866,-0.27440892411365675,336.0
item_prophet_shape_0.45_level_medium,5,0.3456473267888001,1123.0,931.5449656779424,1100.8626317860371,-191.45503432205768,-0.17048533777565245,840.0
item_prophet_shape_0.45_level_medium,6,0.589122201363117,16331.0,14977.43116372062,7005.067183329198,-1353.5688362793794,-0.08288340189084437,1848.0
item_prophet_shape_0.45_level_off,3,0.6476853327600044,13586.0,14452.482515303212,5249.908611450241,866.4825153032128,0.06377760306957256,1008.0
item_prophet_shape_0.45_level_off,4,0.3323062933192002,604.0,408.9047138753208,594.384982255461,-195.0952861246792,-0.3230054406037735,336.0
item_prophet_shape_0.45_level_off,5,0.3437240318350702,1123.0,903.0293574481417,1087.7116654924444,-219.97064255185836,-0.19587768704528793,840.0
item_prophet_shape_0.45_level_off,6,0.588163045790431,16331.0,14956.864487762086,7019.5667691072595,-1374.1355122379132,-0.08414276604236809,1848.0
item_prophet_shape_0.45_level_strong,3,0.6361883710121372,13586.0,15156.296341949022,5430.836829182938,1570.2963419490227,0.11558194773656873,1008.0
item_prophet_shape_0.45_level_strong,4,0.3487996919249708,604.0,445.2439548906297,603.4586217619185,-158.75604510937035,-0.262841134287037,336.0
item_prophet_shape_0.45_level_strong,5,0.3453547189258825,1123.0,939.9916759517737,1105.7500587309173,-183.00832404822643,-0.16296377920590066,840.0
item_prophet_shape_0.45_level_strong,6,0.589356330148315,16331.0,14979.019810904767,7001.489808822271,-1351.9801890952326,-0.08278612388067066,1848.0
item_prophet_shape_0.60_level_light,3,0.6274209927888871,13586.0,15050.469231468045,5542.6789426705855,1464.4692314680453,0.10779252402973984,1008.0
