option_id,target_date,forecast
Option_0,2022-09-16,12.31906387299997
Option_0,2022-09-17,11.15335639718335
Option_0,2022-09-18,11.479229533135936
Option_0,2022-09-19,11.876264880194343
Option_0,2022-09-20,11.36990447947588
Option_0,2022-09-21,11.708379514599944
Option_0,2022-09-22,13.894195322693609
Option_0,2022-09-23,12.355789109160964
Option_0,2022-09-24,12.333463510346279
Option_0,2022-09-25,11.426454630272183
Option_0,2022-09-26,11.313864834192954
Option_0,2022-09-27,10.461152356116026
Option_0,2022-09-28,10.49638812518174
Option_0,2022-09-29,12.244141875893625
Option_0,2022-09-30,13.269564291084414
Option_0,2022-10-01,10.822613029687108
Option_0,2022-10-02,11.742280455870064
Option_0,2022-10-03,12.25151541416367
Option_0,2022-10-04,11.408241295797874
Option_0,2022-10-05,12.497798437999624
Option_0,2022-10-06,12.52197935472491
Option_0,2022-10-07,11.073577673355533
Option_0,2022-10-08,10.541927374740087
Option_0,2022-10-09,10.077670210466442
Option_0,2022-10-10,10.415296975338386
Option_0,2022-10-11,11.42848049991142
Option_0,2022-10-12,11.130769086599038
Option_0,2022-10-13,14.161071447532853
Option_1,2022-09-16,26.606500497179255
Option_1,2022-09-17,24.633377499141343
Option_1,2022-09-18,26.151710184868907
Option_1,2022-09-19,25.41778326231477
Option_1,2022-09-20,25.448163651725192
Option_1,2022-09-21,25.172983475273266
Option_1,2022-09-22,25.011137213160612
Option_1,2022-09-23,24.387834956757885
Option_1,2022-09-24,21.82061094310678
Option_1,2022-09-25,22.842545021306766
Option_1,2022-09-26,21.768889751462883
Option_1,2022-09-27,23.506661057468904
Option_1,2022-09-28,20.173461381323975
Option_1,2022-09-29,21.512843349798633
Option_1,2022-09-30,18.818099133587037
Option_1,2022-10-01,19.087726574350583
Option_1,2022-10-02,24.40577092661767
Option_1,2022-10-03,21.16785581354703
Option_1,2022-10-04,19.07535585131807
Option_1,2022-10-05,21.264290699825178
Option_1,2022-10-06,20.9286836650903
Option_1,2022-10-07,20.33028492442625
Option_1,2022-10-08,19.072615078780604
Option_1,2022-10-09,19.268812312689047
Option_1,2022-10-10,19.002255210402332
Option_1,2022-10-11,19.97241325262836
Option_1,2022-10-12,20.805399602985343
Option_1,2022-10-13,19.455918246656584
Option_10,2022-09-16,1.9597371003184565
Option_10,2022-09-17,2.1253209107982456
Option_10,2022-09-18,2.3168266578712657
Option_10,2022-09-19,2.53302136401802
Option_10,2022-09-20,2.489067080635874
Option_10,2022-09-21,2.8327077066499577
Option_10,2022-09-22,2.8278575117397677
Option_10,2022-09-23,2.6433180969880214
Option_10,2022-09-24,2.2516073299485857
Option_10,2022-09-25,2.3001325899529563
Option_10,2022-09-26,2.1037893433358636
Option_10,2022-09-27,2.2440649262764416
Option_10,2022-09-28,2.251014634950485
Option_10,2022-09-29,2.309878197182948
Option_10,2022-09-30,2.195106048577588
Option_10,2022-10-01,1.8651005323704997
Option_10,2022-10-02,1.7459734319741589
Option_10,2022-10-03,2.0463751137221107
Option_10,2022-10-04,2.09268368755363
Option_10,2022-10-05,2.8616571467205487
Option_10,2022-10-06,1.9558985706736407
Option_10,2022-10-07,2.1895741011607273
