model,target_date,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
bottomup_mix,2022-07-29,0.5723270440251571,159.0,135.0,73.80000000000001,-24.0,-0.1509433962264151,24.0
bottomup_mix,2022-07-30,0.5411347517730496,141.0,150.0,68.4,9.00000000000001,0.06382978723404263,24.0
bottomup_mix,2022-07-31,0.5591304347826087,115.0,117.20000000000002,53.8,2.2000000000000046,0.019130434782608736,24.0
bottomup_mix,2022-08-01,0.5978260869565218,138.0,142.8,67.6,4.800000000000001,0.03478260869565218,24.0
bottomup_mix,2022-08-02,0.64375,112.0,140.1,66.9,28.1,0.25089285714285714,24.0
bottomup_mix,2022-08-03,0.4585034013605442,147.0,166.5,90.10000000000001,19.499999999999996,0.13265306122448978,24.0
bottomup_mix,2022-08-04,0.6180232558139537,172.0,129.4,72.6,-42.599999999999994,-0.24767441860465114,24.0
bottomup_mix,2022-08-05,0.6523097826086957,368.0,288.0,137.2,-80.0,-0.21739130434782608,48.0
bottomup_mix,2022-08-06,0.4875,372.0,301.29999999999995,194.10000000000002,-70.70000000000002,-0.19005376344086025,48.0
bottomup_mix,2022-08-07,0.5363259668508288,362.0,229.89999999999998,175.4,-132.1,-0.36491712707182317,48.0
bottomup_mix,2022-08-08,0.6590579710144929,276.0,283.4,125.69999999999999,7.399999999999999,0.026811594202898546,48.0
bottomup_mix,2022-08-09,0.4808653846153846,520.0,277.25,270.25,-242.75,-0.4668269230769231,48.0
bottomup_mix,2022-08-10,0.6075757575757575,330.0,319.75,137.95,-10.249999999999995,-0.031060606060606046,48.0
bottomup_mix,2022-08-11,0.6554794520547945,292.0,274.3,101.99999999999999,-17.699999999999996,-0.06061643835616437,48.0
bottomup_mix,2022-08-12,0.6595008460236886,591.0,463.7,221.21000000000004,-127.30000000000001,-0.21539763113367177,72.0
bottomup_mix,2022-08-13,0.5230434782608695,552.0,438.65,280.54,-113.35000000000001,-0.20534420289855074,72.0
bottomup_mix,2022-08-14,0.4923270440251572,477.0,360.61,267.3,-116.38999999999999,-0.24400419287211736,72.0
bottomup_mix,2022-08-15,0.5053551912568305,549.0,400.54,275.01,-148.45999999999998,-0.2704189435336976,72.0
bottomup_mix,2022-08-16,0.48441840277777776,576.0,455.255,310.31499999999994,-120.745,-0.20962673611111113,72.0
bottomup_mix,2022-08-17,0.5194411764705882,510.0,475.32500000000005,250.865,-34.67500000000001,-0.06799019607843139,72.0
bottomup_mix,2022-08-18,0.6499999999999999,558.0,421.77,209.07000000000002,-136.23000000000002,-0.2441397849462366,72.0
bottomup_mix,2022-08-19,0.6690780386740331,724.0,630.35,311.66,-93.64999999999999,-0.12935082872928175,96.0
bottomup_mix,2022-08-20,0.4954790419161677,668.0,669.3149999999999,345.45,1.3150000000000048,0.001968562874251504,96.0
bottomup_mix,2022-08-21,0.5550383254716981,848.0,530.975,391.515,-317.025,-0.3738502358490566,96.0
bottomup_mix,2022-08-22,0.42700555555555564,900.0,596.3900000000001,554.73,-303.61,-0.33734444444444445,96.0
bottomup_mix,2022-08-23,0.4928142458100559,716.0,684.4025,404.0825,-31.597499999999997,-0.044130586592178764,96.0
bottomup_mix,2022-08-24,0.4428660220994475,724.0,668.7874999999999,433.3425,-55.2125,-0.0762603591160221,96.0
bottomup_mix,2022-08-25,0.6110482804232804,756.0,596.9749999999999,319.36,-159.02500000000003,-0.21035052910052915,96.0
bottomup_mix,2022-08-26,0.67443125,800.0,679.53,274.58000000000004,-120.47,-0.15058749999999999,96.0
bottomup_mix,2022-08-27,0.5275986842105264,760.0,651.73,412.345,-108.26999999999998,-0.14246052631578945,96.0
bottomup_mix,2022-08-28,0.61213456284153,732.0,577.595,324.735,-154.405,-0.2109357923497268,96.0
bottomup_mix,2022-08-29,0.54328125,816.0,637.8925,438.9975,-178.1075,-0.2182689950980392,96.0
bottomup_mix,2022-08-30,0.6468048780487805,820.0,658.67,303.625,-161.33,-0.1967439024390244,96.0
bottomup_mix,2022-08-31,0.4875556506849315,584.0,653.3199999999999,321.34499999999997,69.32,0.11869863013698628,96.0
bottomup_mix,2022-09-01,0.6377083333333334,828.0,665.445,325.515,-162.555,-0.19632246376811596,96.0
bottomup_mix,2022-09-02,0.630338669950739,812.0,723.5025,322.35249999999996,-88.49750000000002,-0.10898706896551726,96.0
bottomup_mix,2022-09-03,0.4614453124999999,576.0,704.8975,345.4375,128.89750000000004,0.2237803819444445,96.0
bottomup_mix,2022-09-04,0.6184663865546218,952.0,688.2449999999999,382.805,-263.755,-0.2770535714285714,96.0
bottomup_mix,2022-09-05,0.5215625,760.0,689.45,371.655,-70.55000000000001,-0.09282894736842107,96.0
bottomup_mix,2022-09-06,0.4324183006535948,612.0,806.385,420.8950000000001,194.38500000000002,0.31762254901960785,96.0
bottomup_mix,2022-09-07,0.509758064516129,868.0,663.9649999999999,444.56,-204.03500000000003,-0.23506336405529957,96.0
bottomup_mix,2022-09-08,0.6410274390243902,820.0,684.375,328.775,-135.62500000000006,-0.1653963414634147,96.0
bottomup_mix,2022-09-09,0.5706598984771575,591.0,563.7525,257.17249999999996,-27.247499999999967,-0.04610406091370553,72.0
bottomup_mix,2022-09-10,0.37166666666666665,441.0,537.855,283.845,96.85500000000002,0.2196258503401361,72.0
bottomup_mix,2022-09-11,0.5933666666666665,525.0,516.8300000000002,246.525,-8.169999999999995,-0.01556190476190475,72.0
bottomup_mix,2022-09-12,0.6254690618762475,501.0,554.5425,226.91250000000002,53.542500000000004,0.10687125748502994,72.0
bottomup_mix,2022-09-13,0.5219327073552427,639.0,583.745,334.76,-55.254999999999995,-0.08647104851330202,72.0
bottomup_mix,2022-09-14,0.5445958083832335,501.0,497.54249999999996,240.0025,-3.457499999999996,-0.006901197604790411,72.0
bottomup_mix,2022-09-15,0.4488522727272726,660.0,548.375,376.355,-111.62500000000001,-0.1691287878787879,72.0
bottomup_mix,2022-09-16,0.5517914746543778,434.0,374.10499999999996,196.4,-59.894999999999996,-0.1380069124423963,48.0
bottomup_mix,2022-09-17,0.5384432515337424,326.0,351.3125,155.0675,25.312500000000014,0.07764570552147243,48.0
bottomup_mix,2022-09-18,0.6753920454545455,440.0,379.25249999999994,156.0875,-60.7475,-0.1380625,48.0
bottomup_mix,2022-09-19,0.6451220930232558,430.0,400.78499999999997,161.85500000000002,-29.214999999999982,-0.06794186046511624,48.0
bottomup_mix,2022-09-20,0.4099935233160621,386.0,385.4325,243.72750000000002,-0.5674999999999963,-0.0014702072538860008,48.0
bottomup_mix,2022-09-21,0.4420480225988701,354.0,337.1125,199.2025,-16.887500000000003,-0.04770480225988701,48.0
bottomup_mix,2022-09-22,0.5684916974169741,542.0,373.76250000000005,272.3575,-168.2375,-0.3104012915129151,48.0
bottomup_mix,2022-09-23,0.5848341836734694,196.0,193.9875,97.01750000000001,-2.0124999999999957,-0.01026785714285712,24.0
bottomup_mix,2022-09-24,0.40674050632911385,237.0,183.7675,163.3475,-53.232499999999995,-0.2246097046413502,24.0
bottomup_mix,2022-09-25,0.5598876404494382,267.0,186.7875,132.90250000000003,-80.2125,-0.30042134831460676,24.0
bottomup_mix,2022-09-26,0.5610253456221198,217.0,200.85750000000002,115.45750000000001,-16.142499999999984,-0.07438940092165891,24.0
