origin,split,model,horizon,score,n_rows,actual_sum
2022-04-14,selection,etr,19,0.5001589745131411,24.0,30.0
2022-04-14,selection,etr,20,-0.04275337804674557,24.0,21.0
2022-04-14,selection,etr,21,0.3456186250815158,24.0,32.0
2022-04-14,selection,etr,22,0.3065136307780538,24.0,65.0
2022-04-14,selection,etr,23,0.5655357807701559,24.0,48.0
2022-04-14,selection,etr,24,0.42632052904306694,24.0,66.0
2022-04-14,selection,etr,25,0.46973698887091747,24.0,30.0
2022-04-14,selection,etr,26,0.5318757600007601,24.0,37.0
2022-04-14,selection,etr,27,0.4744696333758834,24.0,38.0
2022-04-14,selection,etr,28,0.41697052167255655,24.0,43.0
2022-04-14,selection,item_topdown,1,0.038272470262679735,24.0,19.0
2022-04-14,selection,item_topdown,2,0.46056715107828505,24.0,34.0
2022-04-14,selection,item_topdown,3,0.54103650736777,24.0,29.0
2022-04-14,selection,item_topdown,4,0.3819919666618747,24.0,43.0
2022-04-14,selection,item_topdown,5,0.5150783430178815,24.0,16.0
2022-04-14,selection,item_topdown,6,0.6896372845335227,24.0,27.0
2022-04-14,selection,item_topdown,7,0.3829134059482359,24.0,54.0
2022-04-14,selection,item_topdown,8,0.3987437151553885,24.0,55.0
2022-04-14,selection,item_topdown,9,0.5747417189201323,24.0,23.0
2022-04-14,selection,item_topdown,10,0.43252948086482756,24.0,39.0
2022-04-14,selection,item_topdown,11,0.4790001877643571,24.0,44.0
2022-04-14,selection,item_topdown,12,0.4121526081964994,24.0,39.0
2022-04-14,selection,item_topdown,13,0.4735855281956902,24.0,57.0
2022-04-14,selection,item_topdown,14,0.57571101080867,24.0,44.0
2022-04-14,selection,item_topdown,15,0.4245662682093226,24.0,30.0
2022-04-14,selection,item_topdown,16,0.46117272322224534,24.0,36.0
2022-04-14,selection,item_topdown,17,0.3547581724557968,24.0,41.0
2022-04-14,selection,item_topdown,18,0.5661924231564751,24.0,28.0
2022-04-14,selection,item_topdown,19,0.5455984501059746,24.0,30.0
2022-04-14,selection,item_topdown,20,0.09635907793802134,24.0,21.0
2022-04-14,selection,item_topdown,21,0.6233881034040977,24.0,32.0
2022-04-14,selection,item_topdown,22,0.32491871201996325,24.0,65.0
2022-04-14,selection,item_topdown,23,0.3269993994485842,24.0,48.0
2022-04-14,selection,item_topdown,24,0.31310860268583834,24.0,66.0
2022-04-14,selection,item_topdown,25,0.3403111670631738,24.0,30.0
2022-04-14,selection,item_topdown,26,0.4676360801219267,24.0,37.0
2022-04-14,selection,item_topdown,27,0.4646895572979343,24.0,38.0
2022-04-14,selection,item_topdown,28,0.43150292619221325,24.0,43.0
2022-04-14,selection,lgbm,1,0.1583714686531592,24.0,19.0
2022-04-14,selection,lgbm,2,0.44599473476889523,24.0,34.0
2022-04-14,selection,lgbm,3,0.5325279393591392,24.0,29.0
2022-04-14,selection,lgbm,4,0.37847151562118836,24.0,43.0
2022-04-14,selection,lgbm,5,0.49483361154978683,24.0,16.0
2022-04-14,selection,lgbm,6,0.6011120777452464,24.0,27.0
2022-04-14,selection,lgbm,7,0.3866305816581901,24.0,54.0
2022-04-14,selection,lgbm,8,0.40599918789623773,24.0,55.0
2022-04-14,selection,lgbm,9,0.6192003736740717,24.0,23.0
2022-04-14,selection,lgbm,10,0.4915879099850615,24.0,39.0
2022-04-14,selection,lgbm,11,0.4388792404699801,24.0,44.0
2022-04-14,selection,lgbm,12,0.4619612800818266,24.0,39.0
2022-04-14,selection,lgbm,13,0.37880105957212057,24.0,57.0
2022-04-14,selection,lgbm,14,0.5118299384777824,24.0,44.0
2022-04-14,selection,lgbm,15,0.4012713685124452,24.0,30.0
2022-04-14,selection,lgbm,16,0.43682755206061663,24.0,36.0
2022-04-14,selection,lgbm,17,0.3899068866979471,24.0,41.0
2022-04-14,selection,lgbm,18,0.4871681196203245,24.0,28.0
2022-04-14,selection,lgbm,19,0.4799619621990376,24.0,30.0
2022-04-14,selection,lgbm,20,0.38831827571585265,24.0,21.0
2022-04-14,selection,lgbm,21,0.48922397443945853,24.0,32.0
2022-04-14,selection,lgbm,22,0.23023504472467013,24.0,65.0
2022-04-14,selection,lgbm,23,0.38907511107953346,24.0,48.0
2022-04-14,selection,lgbm,24,0.2993304471631147,24.0,66.0
2022-04-14,selection,lgbm,25,0.42673368733754713,24.0,30.0
2022-04-14,selection,lgbm,26,0.39951145779394304,24.0,37.0
2022-04-14,selection,lgbm,27,0.4375270005052182,24.0,38.0
2022-04-14,selection,lgbm,28,0.35023522070043944,24.0,43.0
2022-04-14,selection,wbaseline,1,-0.06145184373021397,24.0,19.0
2022-04-14,selection,wbaseline,2,0.40985786331331486,24.0,34.0
2022-04-14,selection,wbaseline,3,0.5032286675002762,24.0,29.0
2022-04-14,selection,wbaseline,4,0.39705986203270055,24.0,43.0
2022-04-14,selection,wbaseline,5,0.382408195372604,24.0,16.0
2022-04-14,selection,wbaseline,6,0.6049288303015261,24.0,27.0
2022-04-14,selection,wbaseline,7,0.2902884366924056,24.0,54.0
2022-04-14,selection,wbaseline,8,0.4867308676237675,24.0,55.0
2022-04-14,selection,wbaseline,9,0.4716501570766781,24.0,23.0
2022-04-14,selection,wbaseline,10,0.36872906201516814,24.0,39.0
2022-04-14,selection,wbaseline,11,0.40470186149189913,24.0,44.0
2022-04-14,selection,wbaseline,12,0.34081495918975446,24.0,39.0
2022-04-14,selection,wbaseline,13,0.41926809450305463,24.0,57.0
2022-04-14,selection,wbaseline,14,0.4342955551315033,24.0,44.0
2022-04-14,selection,wbaseline,15,0.2741131843685045,24.0,30.0
2022-04-14,selection,wbaseline,16,0.4955067745844714,24.0,36.0
2022-04-14,selection,wbaseline,17,0.3720721899243512,24.0,41.0
2022-04-14,selection,wbaseline,18,0.7363748599063106,24.0,28.0
2022-04-14,selection,wbaseline,19,0.5089230810087109,24.0,30.0
2022-04-14,selection,wbaseline,20,0.18493285535310602,24.0,21.0
2022-04-14,selection,wbaseline,21,0.5596616920949291,24.0,32.0
2022-04-14,selection,wbaseline,22,0.33796143468899154,24.0,65.0
2022-04-14,selection,wbaseline,23,0.2889750596793306,24.0,48.0
2022-04-14,selection,wbaseline,24,0.31576696755477734,24.0,66.0
2022-04-14,selection,wbaseline,25,0.26963525549775863,24.0,30.0
2022-04-14,selection,wbaseline,26,0.31931297978407375,24.0,37.0
2022-04-14,selection,wbaseline,27,0.3277932795833614,24.0,38.0
2022-04-14,selection,wbaseline,28,0.3554610550981133,24.0,43.0
2022-04-21,selection,ensemble_bucket_selected,1,0.3992580280898773,24.0,55.0
2022-04-21,selection,ensemble_bucket_selected,2,0.699131585265036,24.0,23.0
2022-04-21,selection,ensemble_bucket_selected,3,0.5546758508594295,24.0,39.0
2022-04-21,selection,ensemble_bucket_selected,4,0.5091647110554605,24.0,44.0
2022-04-21,selection,ensemble_bucket_selected,5,0.490558509897444,24.0,39.0
2022-04-21,selection,ensemble_bucket_selected,6,0.4618717658943856,24.0,57.0
2022-04-21,selection,ensemble_bucket_selected,7,0.5548727482247628,24.0,44.0
2022-04-21,selection,ensemble_bucket_selected,8,0.25072407761991095,24.0,30.0
2022-04-21,selection,ensemble_bucket_selected,9,0.43193211045641616,24.0,36.0
2022-04-21,selection,ensemble_bucket_selected,10,0.4065003249911786,24.0,41.0
2022-04-21,selection,ensemble_bucket_selected,11,0.5264860628317259,24.0,28.0
2022-04-21,selection,ensemble_bucket_selected,12,0.46749860556110556,24.0,30.0
2022-04-21,selection,ensemble_bucket_selected,13,-0.1960259570676238,24.0,21.0
2022-04-21,selection,ensemble_bucket_selected,14,0.3475963247545281,24.0,32.0
2022-04-21,selection,ensemble_bucket_selected,15,0.34553432704085524,24.0,65.0
2022-04-21,selection,ensemble_bucket_selected,16,0.5478527742250896,24.0,48.0
2022-04-21,selection,ensemble_bucket_selected,17,0.4607632447774131,24.0,66.0
2022-04-21,selection,ensemble_bucket_selected,18,0.4063256651458081,24.0,30.0
2022-04-21,selection,ensemble_bucket_selected,19,0.48015882766364437,24.0,37.0
2022-04-21,selection,ensemble_bucket_selected,20,0.46939266461539486,24.0,38.0
2022-04-21,selection,ensemble_bucket_selected,21,0.42242537458300067,24.0,43.0
2022-04-21,selection,ensemble_bucket_selected,22,0.4917832955066996,24.0,47.0
2022-04-21,selection,ensemble_bucket_selected,23,0.6129054819771731,24.0,34.0
2022-04-21,selection,ensemble_bucket_selected,24,0.5613503434275494,24.0,37.0
2022-04-21,selection,ensemble_bucket_selected,25,0.549344134873665,24.0,31.0
2022-04-21,selection,ensemble_bucket_selected,26,0.5013799490027168,24.0,56.0
2022-04-21,selection,ensemble_bucket_selected,27,0.4841161647146123,24.0,63.0
2022-04-21,selection,ensemble_bucket_selected,28,0.48992084178158474,24.0,59.0
2022-04-21,selection,ensemble_selected,1,0.4085399210895773,24.0,55.0
2022-04-21,selection,ensemble_selected,2,0.7296546589481372,24.0,23.0
2022-04-21,selection,ensemble_selected,3,0.5976042547196391,24.0,39.0
2022-04-21,selection,ensemble_selected,4,0.5194911914159074,24.0,44.0
2022-04-21,selection,ensemble_selected,5,0.5233741080856464,24.0,39.0
2022-04-21,selection,ensemble_selected,6,0.46366107576633914,24.0,57.0
2022-04-21,selection,ensemble_selected,7,0.5237767721607963,24.0,44.0
2022-04-21,selection,ensemble_selected,8,0.25072407761991095,24.0,30.0
2022-04-21,selection,ensemble_selected,9,0.43193211045641616,24.0,36.0
2022-04-21,selection,ensemble_selected,10,0.4065003249911786,24.0,41.0
2022-04-21,selection,ensemble_selected,11,0.5264860628317259,24.0,28.0
2022-04-21,selection,ensemble_selected,12,0.46749860556110556,24.0,30.0
2022-04-21,selection,ensemble_selected,13,-0.1960259570676238,24.0,21.0
2022-04-21,selection,ensemble_selected,14,0.3475963247545281,24.0,32.0
2022-04-21,selection,ensemble_selected,15,0.356872378156032,24.0,65.0
2022-04-21,selection,ensemble_selected,16,0.5656207531858575,24.0,48.0
2022-04-21,selection,ensemble_selected,17,0.4685762044643268,24.0,66.0
2022-04-21,selection,ensemble_selected,18,0.3802957948687114,24.0,30.0
2022-04-21,selection,ensemble_selected,19,0.4843985912735912,24.0,37.0
2022-04-21,selection,ensemble_selected,20,0.4608572017042412,24.0,38.0
2022-04-21,selection,ensemble_selected,21,0.4260686912140401,24.0,43.0
2022-04-21,selection,ensemble_selected,22,0.4917832955066996,24.0,47.0
2022-04-21,selection,ensemble_selected,23,0.6129054819771731,24.0,34.0
2022-04-21,selection,ensemble_selected,24,0.5613503434275494,24.0,37.0
2022-04-21,selection,ensemble_selected,25,0.549344134873665,24.0,31.0
2022-04-21,selection,ensemble_selected,26,0.5013799490027168,24.0,56.0
2022-04-21,selection,ensemble_selected,27,0.4841161647146123,24.0,63.0
