option_id,target_date,forecast
Option_0,2022-09-16,16.45034174258217
Option_0,2022-09-17,14.169746915303486
Option_0,2022-09-18,16.04690107332334
Option_0,2022-09-19,13.676045812429418
Option_0,2022-09-20,14.311046699636455
Option_0,2022-09-21,13.666120473307265
Option_0,2022-09-22,16.156123573623994
Option_0,2022-09-23,17.844868812561124
Option_0,2022-09-24,15.001741839143255
Option_0,2022-09-25,16.92274008244966
Option_0,2022-09-26,13.824049307442442
Option_0,2022-09-27,14.381379073158591
Option_0,2022-09-28,13.371458162493882
Option_0,2022-09-29,15.800001437309131
Option_0,2022-09-30,16.72232718749147
Option_0,2022-10-01,13.975117296708804
Option_0,2022-10-02,15.233921093098587
Option_0,2022-10-03,11.594867370886686
Option_0,2022-10-04,12.391487651120862
Option_0,2022-10-05,11.035023542520134
Option_0,2022-10-06,13.123674313449811
Option_0,2022-10-07,16.11082857331707
Option_0,2022-10-08,11.836661250677038
Option_0,2022-10-09,14.213563456652366
Option_0,2022-10-10,10.434018360402588
Option_0,2022-10-11,11.90258957801246
Option_0,2022-10-12,10.078557250983835
Option_0,2022-10-13,13.032675850579471
Option_1,2022-09-16,28.931462041017735
Option_1,2022-09-17,21.744711648873654
Option_1,2022-09-18,22.88292722464634
Option_1,2022-09-19,22.934794802570206
Option_1,2022-09-20,21.01836664970963
Option_1,2022-09-21,22.23379652546955
Option_1,2022-09-22,22.93765326939996
Option_1,2022-09-23,23.59039238493314
Option_1,2022-09-24,17.611386883940742
Option_1,2022-09-25,18.068126520341988
Option_1,2022-09-26,18.098352270900893
Option_1,2022-09-27,16.897765473016253
Option_1,2022-09-28,18.06420018227512
Option_1,2022-09-29,18.76161754507735
Option_1,2022-09-30,19.95440289666907
Option_1,2022-10-01,15.058973729861675
Option_1,2022-10-02,16.026634142007914
Option_1,2022-10-03,16.036910683226235
Option_1,2022-10-04,15.455097030335853
Option_1,2022-10-05,17.97965444306221
Option_1,2022-10-06,18.559123609439837
Option_1,2022-10-07,22.93284722541454
Option_1,2022-10-08,16.99634250454192
Option_1,2022-10-09,19.481514027537873
Option_1,2022-10-10,20.352422962809264
Option_1,2022-10-11,19.178011397837427
Option_1,2022-10-12,20.62659917789316
Option_1,2022-10-13,21.085099482946084
Option_10,2022-09-16,2.1358602240481477
Option_10,2022-09-17,2.00693131514607
Option_10,2022-09-18,2.034527780694243
Option_10,2022-09-19,2.504579017500416
Option_10,2022-09-20,2.0392613406581326
Option_10,2022-09-21,1.733950644118613
Option_10,2022-09-22,2.418920908614932
Option_10,2022-09-23,1.9000585978451692
Option_10,2022-09-24,1.5830770014828457
Option_10,2022-09-25,1.6072608898296403
Option_10,2022-09-26,2.0435618998224943
Option_10,2022-09-27,1.7002454756574485
Option_10,2022-09-28,1.3961344526553203
Option_10,2022-09-29,1.9560986857282185
Option_10,2022-09-30,1.6013790118426574
Option_10,2022-10-01,1.331795733619851
Option_10,2022-10-02,1.4924076528855272
Option_10,2022-10-03,1.9289106989646367
Option_10,2022-10-04,1.4868674901156997
Option_10,2022-10-05,1.390497665274438
Option_10,2022-10-06,1.8752500524442273
Option_10,2022-10-07,1.8906976042609658
Option_10,2022-10-08,1.4649717852518493
Option_10,2022-10-09,1.9426612494730728
Option_10,2022-10-10,3.2106821440408977
Option_10,2022-10-11,2.136044430262166
Option_10,2022-10-12,2.002972596401849
Option_10,2022-10-13,2.599981668594046
Option_11,2022-09-16,0.0
Option_11,2022-09-17,0.0
Option_11,2022-09-18,0.0
Option_11,2022-09-19,0.0
Option_11,2022-09-20,0.0
Option_11,2022-09-21,0.0
Option_11,2022-09-22,0.0
Option_11,2022-09-23,0.0
Option_11,2022-09-24,0.0
Option_11,2022-09-25,0.0
Option_11,2022-09-26,0.0
Option_11,2022-09-27,0.0
Option_11,2022-09-28,0.0
Option_11,2022-09-29,0.0
Option_11,2022-09-30,0.0
Option_11,2022-10-01,0.0
Option_11,2022-10-02,0.0
Option_11,2022-10-03,0.0
Option_11,2022-10-04,0.0
Option_11,2022-10-05,0.0
Option_11,2022-10-06,0.0
Option_11,2022-10-07,0.0
Option_11,2022-10-08,0.0
Option_11,2022-10-09,0.0
Option_11,2022-10-10,0.0
Option_11,2022-10-11,0.0
Option_11,2022-10-12,0.0
Option_11,2022-10-13,0.0
Option_12,2022-09-16,14.005635277625048
Option_12,2022-09-17,12.051036911778743
Option_12,2022-09-18,14.018677865745447
Option_12,2022-09-19,10.95936827093892
Option_12,2022-09-20,13.443885960973775
Option_12,2022-09-21,11.726087409128239
Option_12,2022-09-22,13.95898953700408
Option_12,2022-09-23,14.942719967178073
Option_12,2022-09-24,12.714521345193038
Option_12,2022-09-25,14.116601886962254
Option_12,2022-09-26,11.040100268807965
Option_12,2022-09-27,13.702495335259869
Option_12,2022-09-28,11.664838941683758
Option_12,2022-09-29,13.379099979958339
Option_12,2022-09-30,13.646087529158606
Option_12,2022-10-01,11.543306769034444
Option_12,2022-10-02,12.534652886800059
Option_12,2022-10-03,9.57207124535737
Option_12,2022-10-04,11.82471659990197
Option_12,2022-10-05,10.065769519854339
Option_12,2022-10-06,11.543745012909152
Option_12,2022-10-07,11.792751299737553
Option_12,2022-10-08,9.768449835058377
Option_12,2022-10-09,10.669606474742821
Option_12,2022-10-10,8.379616553589399
Option_12,2022-10-11,11.334776326729612
Option_12,2022-10-12,9.257827922133096
Option_12,2022-10-13,10.631737443210278
Option_13,2022-09-16,2.2439021541237403
Option_13,2022-09-17,1.917889448874591
Option_13,2022-09-18,2.2831988403732684
Option_13,2022-09-19,2.643241650214415
Option_13,2022-09-20,2.224130620701485
Option_13,2022-09-21,1.7485178266073373
Option_13,2022-09-22,2.5698196348150177
Option_13,2022-09-23,1.9793536358795412
Option_13,2022-09-24,1.606824154085938
Option_13,2022-09-25,1.8603953424465915
Option_13,2022-09-26,2.141998191996748
Option_13,2022-09-27,1.875267505818084
Option_13,2022-09-28,1.3649930278510851
Option_13,2022-09-29,2.158781594882286
Option_13,2022-09-30,1.6888031884718677
Option_13,2022-10-01,1.3133470066908413
Option_13,2022-10-02,1.5986918461669102
Option_13,2022-10-03,2.0951195424800675
Option_13,2022-10-04,1.774363355396299
Option_13,2022-10-05,1.3464613918923645
Option_13,2022-10-06,2.2051117083478484
Option_13,2022-10-07,1.8821204013046902
Option_13,2022-10-08,1.7364646493203877
