split,model,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
holdout,cate2_prophet,0.6447976620661509,11000.0,10627.328574992964,4337.340735676622,-372.6714250070364,-0.03387922045518513,1344.0
holdout,ensemble_residual_beta_0.7,0.639890475310618,11000.0,10634.412284026272,4414.68964447024,-365.58771597372777,-0.03323524690670252,1344.0
holdout,ensemble_residual_beta_0.5,0.6398589227784963,11000.0,10591.19755242454,4412.788904761926,-408.8024475754596,-0.03716385887049633,1344.0
holdout,ensemble_residual_beta_0.9,0.6397240032910596,11000.0,10675.507748836535,4418.7039344180985,-324.4922511634656,-0.029499295560315053,1344.0
holdout,ensemble_residual_beta_0.3,0.6394309249368418,11000.0,10547.982820822808,4415.2490634584665,-452.0171791771909,-0.04109247083429008,1344.0
holdout,ensemble,0.6381737891771795,11000.0,10483.160723420211,4425.70583047227,-516.8392765797885,-0.04698538877998077,1344.0
holdout,item_prophet,0.6351001037626953,11000.0,10502.804094172734,4459.536172797621,-497.1959058272653,-0.04519962780247866,1344.0
holdout,hybrid_short_residual_beta_0.5,0.6315838162110965,11000.0,10865.887647042484,4522.3462908205765,-134.11235295751598,-0.012192032087046908,1344.0
holdout,hybrid_short_residual_beta_0.7,0.6315260362591426,11000.0,10888.538849303186,4523.993717074236,-111.46115069681358,-0.010132831881528507,1344.0
holdout,hybrid_short_residual_beta_0.9,0.6314308016597657,11000.0,10911.190051563888,4526.053144449552,-88.80994843611138,-0.008073631676010126,1344.0
holdout,ensemble_shape_0.30_level_off,0.62981245132585,11000.0,10863.31698856885,4533.254405876916,-136.68301143115127,-0.012425728311922842,1344.0
holdout,ensemble_shape_0.30_level_light,0.6280668405683213,11000.0,11016.491438715417,4559.386514774238,16.491438715416066,0.0014992217014014606,1344.0
holdout,ensemble_shape_0.30_level_medium,0.6260259652180584,11000.0,11106.103515392348,4586.111960019092,106.1035153923479,0.009645774126577081,1344.0
holdout,item_prophet_shape_0.30_level_light,0.6252076218583883,11000.0,11015.910235008605,4588.51591976859,15.910235008605042,0.0014463850007822765,1344.0
holdout,ensemble_bias_global,0.6245775929037551,11000.0,11827.120112761202,4632.392927433867,827.1201127612021,0.07519273752374564,1344.0
holdout,ensemble_shape_0.30_level_strong,0.6245310735728171,11000.0,11159.212176042449,4605.451651608249,159.21217604244816,0.014473834185677105,1344.0
holdout,item_prophet_shape_0.30_level_off,0.6242125385109573,11000.0,10822.931434629769,4590.15036252457,-177.0685653702304,-0.016097142306384583,1344.0
holdout,ensemble_bias_horizon,0.6232722296820938,11000.0,11836.201145893727,4648.576427666212,836.2011458937282,0.07601828599033893,1344.0
holdout,item_prophet_shape_0.30_level_medium,0.6232058799776853,11000.0,11126.399074701978,4616.122750775097,126.3990747019788,0.011490824972907165,1344.0
holdout,item_prophet_shape_0.30_level_strong,0.6219103783163094,11000.0,11192.281019953536,4634.246621959746,192.28101995353677,0.017480092723048797,1344.0
holdout,ensemble_shape_0.45_level_off,0.6195908481365981,11000.0,11046.92817045362,4652.675001745617,46.92817045362093,0.004266197313965539,1344.0
