model,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
ensemble,0.6272765951855601,31644.0,28781.30667196609,13023.510817105223,-2862.6933280339094,-0.090465596259446,4032.0
ensemble_residual_beta_0.3,0.6263251589085029,31644.0,29106.177095487015,13069.454463592683,-2537.8229045129856,-0.08019918166202078,4032.0
ensemble_residual_beta_0.5,0.6248945414535795,31644.0,29322.757377834296,13125.282520293786,-2321.242622165704,-0.07335490526373732,4032.0
item_prophet,0.6231474928957229,31644.0,29242.81207020382,13165.183485790374,-2401.187929796177,-0.07588130229415298,4032.0
ensemble_residual_beta_0.7,0.6228137815877544,31644.0,29539.33766018158,13201.683683445457,-2104.6623398184215,-0.06651062886545385,4032.0
ensemble_bias_item,0.6210810188716817,31644.0,32220.46732509132,13343.519099495803,576.4673250913168,0.018217271049529665,4032.0
ensemble_residual_beta_0.9,0.6202685054582981,31644.0,29750.538798552116,13292.48877415305,-1893.461201447883,-0.05983634184830878,4032.0
ensemble_shape_0.30_level_off,0.617772221312395,31644.0,30089.978718858816,13378.580764994567,-1554.0212811411843,-0.04910950831567388,4032.0
ensemble_bias_horizon,0.6172645865350745,31644.0,32480.201145893727,13498.690009549433,836.2011458937277,0.026425266903480207,4032.0
ensemble_bias_global,0.6171268430495903,31644.0,32471.120112761204,13502.256094527089,827.1201127612045,0.02613829202253838,4032.0
hybrid_short_residual_beta_0.5,0.616717292268315,31644.0,29972.64029821376,13429.79281267775,-1671.3597017862405,-0.05281758632872711,4032.0
ensemble_shape_0.30_level_light,0.6165493913886717,31644.0,30444.512631893558,13444.395166833938,-1199.4873681064437,-0.03790568095393894,4032.0
hybrid_short_residual_beta_0.7,0.6159046184808288,31644.0,30068.9786349141,13460.365047090043,-1575.0213650859037,-0.04977314388465123,4032.0
ensemble_shape_0.30_level_medium,0.6153696615052143,31644.0,30658.52300331419,13498.760784412261,-985.4769966858114,-0.03114261776911299,4032.0
hybrid_short_residual_beta_0.9,0.6149409015333893,31644.0,30165.316971614433,13495.716891255892,-1478.683028385567,-0.04672870144057537,4032.0
ensemble_shape_0.30_level_strong,0.6146109277950079,31644.0,30799.452959815782,13534.597366998625,-844.5470401842144,-0.026689010244729316,4032.0
item_prophet_shape_0.30_level_off,0.6113110863544918,31644.0,30155.634046367446,13578.411702310472,-1488.3659536325526,-0.04703469705576263,4032.0
item_prophet_shape_0.30_level_light,0.610001329297291,31644.0,30579.56272764462,13653.431868422555,-1064.4372723553788,-0.03363788624558775,4032.0
item_prophet_shape_0.30_level_medium,0.6080908232452015,31644.0,30825.504839372436,13734.503848116929,-818.4951606275667,-0.025865730016039905,4032.0
ensemble_shape_0.45_level_off,0.606877171499733,31644.0,30747.648625808237,13749.732274953301,-896.351374191765,-0.028326108399436386,4032.0
item_prophet_shape_0.30_level_strong,0.6068593420119129,31644.0,30987.54600793492,13787.986307641946,-656.4539920650768,-0.02074497510002139,4032.0
ensemble_shape_0.45_level_light,0.6058662454001915,31644.0,31087.98513415821,13806.998775528964,-556.0148658417922,-0.01757094127928809,4032.0
ensemble_shape_0.45_level_medium,0.6049988283884378,31644.0,31284.154281031864,13849.705277230043,-359.8457189681345,-0.011371688755155306,4032.0
ensemble_shape_0.45_level_strong,0.6043039984316796,31644.0,31413.506524747576,13882.257541732191,-230.4934752524244,-0.0072839551021496775,4032.0
item_prophet_shape_0.45_level_off,0.60015986350008,31644.0,30721.28107438876,13951.572028305405,-922.7189256112381,-0.029159364353787073,4032.0
item_prophet_shape_0.45_level_light,0.5989839125866443,31644.0,31137.288849908393,14021.103105803735,-506.71115009160553,-0.016012866581077156,4032.0
item_prophet_shape_0.45_level_medium,0.5972796536085851,31644.0,31367.14108050365,14094.146005889437,-276.8589194963514,-0.00874917581520514,4032.0
item_prophet_shape_0.45_level_strong,0.596212292993916,31644.0,31520.55178369619,14141.535318498045,-123.44821630380656,-0.003901157132594064,4032.0
cate2_prophet,0.5953456172944929,31644.0,27995.962228234122,13964.483577704714,-3648.037771765881,-0.11528371165990017,4032.0
ensemble_shape_0.60_level_off,0.5940993048993372,31644.0,31321.885110913307,14169.04633353583,-322.11488908669264,-0.01017933539017484,4032.0
ensemble_shape_0.60_level_light,0.5933538114775774,31644.0,31656.12305165297,14217.624091116697,12.12305165296732,0.00038310743436251166,4032.0
ensemble_shape_0.60_level_medium,0.5925880712391319,31644.0,31842.188739788155,14256.582939423406,198.18873978815418,0.006263074825817032,4032.0
ensemble_shape_0.60_level_strong,0.5921050763086523,31644.0,31956.40120906282,14281.401407576896,312.4012090628221,0.009872367875831818,4032.0
item_prophet_shape_0.60_level_off,0.5869740619236135,31644.0,31240.380979343747,14380.005628737897,-403.6190206562494,-0.012754993700425023,4032.0
cate2_mix,0.5864131748151912,31644.0,27558.71,14312.778697808488,-4085.29,-0.12910156743774492,4032.0
item_prophet_shape_0.60_level_light,0.5860524888823972,31644.0,31649.909584905392,14441.067347762742,5.909584905393672,0.0001867521459168775,4032.0
item_prophet_shape_0.60_level_medium,0.5845038659118581,31644.0,31875.15193294486,14508.957954339985,231.15193294486212,0.007304763397322151,4032.0
item_prophet_shape_0.60_level_strong,0.5835499161905812,31644.0,32015.74945718489,14551.526233426583,371.7494571848953,0.011747865541173533,4032.0
bottomup_mix,0.5529443970420933,31644.0,27558.71,15373.205000000002,-4085.2899999999995,-0.1291015674377449,4032.0
