option_id,target_date,forecast
Option_0,2022-09-16,13.609028342517725
Option_0,2022-09-17,13.372877375470361
Option_0,2022-09-18,13.873449529276527
Option_0,2022-09-19,13.228233299843595
Option_0,2022-09-20,13.909082823794947
Option_0,2022-09-21,14.025910569213769
Option_0,2022-09-22,14.926639815729743
Option_0,2022-09-23,14.533563399205958
Option_0,2022-09-24,14.125996869242778
Option_0,2022-09-25,14.30854833050392
Option_0,2022-09-26,13.365993166385934
Option_0,2022-09-27,13.989807547053982
Option_0,2022-09-28,13.618287002832144
Option_0,2022-09-29,14.441715660423762
Option_0,2022-09-30,13.692408063640727
Option_0,2022-10-01,13.025990202448472
Option_0,2022-10-02,13.00340709500159
Option_0,2022-10-03,11.81257518135959
Option_0,2022-10-04,12.058435011023
Option_0,2022-10-05,11.808220390774899
Option_0,2022-10-06,12.342724418042405
Option_0,2022-10-07,11.525565873109525
Option_0,2022-10-08,10.752186072590103
Option_0,2022-10-09,10.664024880831288
Option_0,2022-10-10,9.53241846941128
Option_0,2022-10-11,10.037724788463294
Option_0,2022-10-12,9.647164910145868
Option_0,2022-10-13,10.493038492899872
Option_1,2022-09-16,27.339275731861072
Option_1,2022-09-17,23.648941168843848
Option_1,2022-09-18,24.796137198405138
Option_1,2022-09-19,24.19785087821966
Option_1,2022-09-20,22.000567218334325
Option_1,2022-09-21,24.12947789786517
Option_1,2022-09-22,23.70490076175387
Option_1,2022-09-23,23.522050920087125
Option_1,2022-09-24,20.184435753222324
Option_1,2022-09-25,20.56524399126183
Option_1,2022-09-26,20.968892289563595
Option_1,2022-09-27,19.23255305063424
Option_1,2022-09-28,20.299106186475615
Option_1,2022-09-29,20.541909243384737
Option_1,2022-09-30,20.880012006072686
Option_1,2022-10-01,17.22294849816149
Option_1,2022-10-02,18.81998536451106
Option_1,2022-10-03,18.63972369366517
Option_1,2022-10-04,16.643365304424044
Option_1,2022-10-05,18.91601066780283
Option_1,2022-10-06,18.887155516187207
Option_1,2022-10-07,19.066800362440873
Option_1,2022-10-08,15.89054196462872
Option_1,2022-10-09,17.1123497208619
Option_1,2022-10-10,17.41869296583584
Option_1,2022-10-11,15.83757300492845
Option_1,2022-10-12,17.727451833667846
Option_1,2022-10-13,17.861402328089934
Option_10,2022-09-16,2.4206481367280652
Option_10,2022-09-17,1.9649568947338487
Option_10,2022-09-18,2.0510167178580003
Option_10,2022-09-19,2.1743553664440096
Option_10,2022-09-20,2.072424196607522
Option_10,2022-09-21,2.031592195897457
Option_10,2022-09-22,2.1919756902611374
Option_10,2022-09-23,2.1547889163119263
Option_10,2022-09-24,1.6940811271485536
Option_10,2022-09-25,1.7017670502289914
Option_10,2022-09-26,1.8740926187189397
Option_10,2022-09-27,1.789023678764328
Option_10,2022-09-28,1.6651926428467854
Option_10,2022-09-29,1.8696306102680542
Option_10,2022-09-30,1.872837325733959
Option_10,2022-10-01,1.4008618503802803
Option_10,2022-10-02,1.510560494833435
Option_10,2022-10-03,1.6667906231707288
Option_10,2022-10-04,1.593525794761661
Option_10,2022-10-05,1.5873132809084018
Option_10,2022-10-06,1.8117475199120097
Option_10,2022-10-07,1.8452752738647777
Option_10,2022-10-08,1.4491575701852333
Option_10,2022-10-09,1.5761034022559175
Option_10,2022-10-10,1.8084623869134702
Option_10,2022-10-11,1.8038434630323295
Option_10,2022-10-12,1.8068148681969163
Option_10,2022-10-13,2.074022558133514
Option_11,2022-09-16,0.11116150874726625
Option_11,2022-09-17,0.11250201623773536
Option_11,2022-09-18,0.12398396750538425
Option_11,2022-09-19,0.15133398224034786
Option_11,2022-09-20,0.22573516550868433
Option_11,2022-09-21,0.20579186319913942
Option_11,2022-09-22,0.3883852776733368
Option_11,2022-09-23,0.15052020212979045
Option_11,2022-09-24,0.1635051569927713
Option_11,2022-09-25,0.13158442528459563
Option_11,2022-09-26,0.159852431643341
Option_11,2022-09-27,0.20965430220408515
Option_11,2022-09-28,0.19368076988121352
Option_11,2022-09-29,0.39550495315396517
Option_11,2022-09-30,0.12834907598108883
Option_11,2022-10-01,0.1297126993514291
Option_11,2022-10-02,0.11292916559446178
Option_11,2022-10-03,0.14984312534709227
Option_11,2022-10-04,0.203693115363278
Option_11,2022-10-05,0.19328907622760924
Option_11,2022-10-06,0.3484530165791737
Option_11,2022-10-07,0.11975424770245045
Option_11,2022-10-08,0.12215843957373156
Option_11,2022-10-09,0.10701013578928399
Option_11,2022-10-10,0.13070557032324548
Option_11,2022-10-11,0.19986110687106234
Option_11,2022-10-12,0.18263139829262043
Option_11,2022-10-13,0.3889851370269862
Option_12,2022-09-16,12.334466775695823
Option_12,2022-09-17,12.120432666589451
Option_12,2022-09-18,12.574123440431896
Option_12,2022-09-19,11.989335317078787
Option_12,2022-09-20,12.606419477759772
Option_12,2022-09-21,12.71230565185538
Option_12,2022-09-22,13.528676570147804
Option_12,2022-09-23,13.17241395698425
Option_12,2022-09-24,12.803018310491943
Option_12,2022-09-25,12.968472807103252
Option_12,2022-09-26,12.114193202162479
Option_12,2022-09-27,12.67958387950512
Option_12,2022-09-28,12.342858310723999
Option_12,2022-09-29,13.089168272287395
Option_12,2022-09-30,12.410037519916067
Option_12,2022-10-01,11.806033416116438
Option_12,2022-10-02,11.785565342901744
Option_12,2022-10-03,10.706261493679387
Option_12,2022-10-04,10.929095176153776
Option_12,2022-10-05,10.702314553572414
Option_12,2022-10-06,11.186759291277104
Option_12,2022-10-07,10.446132211277515
Option_12,2022-10-08,9.745183751592236
Option_12,2022-10-09,9.665279348185457
Option_12,2022-10-10,8.639654201883333
Option_12,2022-10-11,9.09763575993652
Option_12,2022-10-12,8.74365399711106
Option_12,2022-10-13,9.51030679114792
Option_13,2022-09-16,2.2909705579747763
Option_13,2022-09-17,1.8596913468016785
Option_13,2022-09-18,1.941140822258465
Option_13,2022-09-19,2.0578720432416517
Option_13,2022-09-20,1.9614014717892623
Option_13,2022-09-21,1.9227568996886648
Option_13,2022-09-22,2.074548421140005
Option_13,2022-09-23,2.039353795795216
Option_13,2022-09-24,1.6033267810513099
Option_13,2022-09-25,1.6106009582524383
Option_13,2022-09-26,1.7736947998589967
Option_13,2022-09-27,1.6931831245448106
Option_13,2022-09-28,1.5759858941228508
Option_13,2022-09-29,1.7694718275751227
Option_13,2022-09-30,1.772506754712497
Option_13,2022-10-01,1.325815679824194
Option_13,2022-10-02,1.4296376111816438
Option_13,2022-10-03,1.5774982683580112
Option_13,2022-10-04,1.5081583414708577
Option_13,2022-10-05,1.5022786408597375
Option_13,2022-10-06,1.7146896170595805
Option_13,2022-10-07,1.7464212413363076
Option_13,2022-10-08,1.37152412892531
Option_13,2022-10-09,1.4916692914207792
Option_13,2022-10-10,1.7115804733288202
Option_13,2022-10-11,1.707208991798455
Option_13,2022-10-12,1.71002121454351
Option_13,2022-10-13,1.9629142068049328
Option_14,2022-09-16,13.280109228499171
Option_14,2022-09-17,13.049665837694643
Option_14,2022-09-18,13.53813957086501
Option_14,2022-09-19,12.908517691388159
Option_14,2022-09-20,13.572911637721354
Option_14,2022-09-21,13.68691575183096
Option_14,2022-09-22,14.565875107192468
Option_14,2022-09-23,14.182299027019711
Option_14,2022-09-24,13.78458304762966
Option_14,2022-09-25,13.962722388981167
Option_14,2022-09-26,13.042948014328271
Option_14,2022-09-27,13.65168531026718
Option_14,2022-09-28,13.289144114546174
Option_14,2022-09-29,14.092671173162765
Option_14,2022-09-30,13.3614737297763
Option_14,2022-10-01,12.71116264468537
Option_14,2022-10-02,12.689125352524211
Option_14,2022-10-03,11.527074874861475
Option_14,2022-10-04,11.766992472992232
Option_14,2022-10-05,11.522825336012966
Option_14,2022-10-06,12.044410836941683
Option_14,2022-10-07,11.247002347475458
Option_14,2022-10-08,10.492314505880977
Option_14,2022-10-09,10.40628409821301
Option_14,2022-10-10,9.30202769069439
Option_14,2022-10-11,9.79512116819832
Option_14,2022-10-12,9.414000803556242
Option_14,2022-10-13,10.239430311802597
Option_15,2022-09-16,7.249806756928841
Option_15,2022-09-17,6.973033206585178
Option_15,2022-09-18,7.339986363867625
Option_15,2022-09-19,7.503486417366799
Option_15,2022-09-20,7.428937285174279
Option_15,2022-09-21,7.4989180569716725
Option_15,2022-09-22,8.592798967841924
Option_15,2022-09-23,7.091920703730164
Option_15,2022-09-24,6.665590111946937
Option_15,2022-09-25,6.80124018562305
Option_15,2022-09-26,6.764247597843597
Option_15,2022-09-27,6.659352720498333
Option_15,2022-09-28,6.430693127518085
Option_15,2022-09-29,7.51569859439844
Option_15,2022-09-30,5.820941158921584
Option_15,2022-10-01,5.282748045358165
Option_15,2022-10-02,5.351753705494417
Option_15,2022-10-03,5.2277176093473745
Option_15,2022-10-04,4.948882967808049
Option_15,2022-10-05,4.883353747362218
Option_15,2022-10-06,5.86063523409179
Option_15,2022-10-07,4.189562639441345
Option_15,2022-10-08,3.6497602790893144
Option_15,2022-10-09,3.737420822889174
Option_15,2022-10-10,3.706862151075637
Option_15,2022-10-11,3.6383362910260253
Option_15,2022-10-12,3.5084393238928717
Option_15,2022-10-13,4.711004813114901
Option_16,2022-09-16,4.037139894213369
Option_16,2022-09-17,4.0173877878055695
Option_16,2022-09-18,4.34037288533266
Option_16,2022-09-19,4.252410475342673
Option_16,2022-09-20,4.306500938522503
Option_16,2022-09-21,4.190294846570776
Option_16,2022-09-22,4.64177669374321
Option_16,2022-09-23,4.217295633543749
Option_16,2022-09-24,4.167902777657794
Option_16,2022-09-25,4.409784963801
Option_16,2022-09-26,4.2490458458666325
Option_16,2022-09-27,4.3156497887190675
Option_16,2022-09-28,4.057090319156687
Option_16,2022-09-29,4.510896765408274
Option_16,2022-09-30,3.9889327900176377
Option_16,2022-10-01,3.873721261600009
Option_16,2022-10-02,4.066242162839695
Option_16,2022-10-03,3.8385284774104527
Option_16,2022-10-04,3.788746423848284
Option_16,2022-10-05,3.588318852999175
Option_16,2022-10-06,3.950286655451369
Option_16,2022-10-07,3.413588560473185
Option_16,2022-10-08,3.26586100981084
Option_16,2022-10-09,3.437692733037159
Option_16,2022-10-10,3.2318571488332624
Option_16,2022-10-11,3.2729738670587616
Option_16,2022-10-12,3.0187546752256904
Option_16,2022-10-13,3.485960738144718
Option_17,2022-09-16,20.169393981953583
Option_17,2022-09-17,19.886168029861786
Option_17,2022-09-18,20.492699239064283
Option_17,2022-09-19,20.193710730948354
Option_17,2022-09-20,21.009765869365697
Option_17,2022-09-21,20.925466814506414
Option_17,2022-09-22,22.722074279327973
Option_17,2022-09-23,21.180015780624064
Option_17,2022-09-24,20.578762195942044
Option_17,2022-09-25,20.66966752205181
Option_17,2022-09-26,19.90123071904268
Option_17,2022-09-27,20.60936859255034
Option_17,2022-09-28,19.812374252999675
Option_17,2022-09-29,21.507054629350755
Option_17,2022-09-30,19.474480554800508
Option_17,2022-10-01,18.541185925205387
Option_17,2022-10-02,18.39238519187335
Option_17,2022-10-03,17.33720794422084
Option_17,2022-10-04,17.583312717667862
Option_17,2022-10-05,17.05461502885167
Option_17,2022-10-06,18.43679087485648
Option_17,2022-10-07,16.413753200456398
Option_17,2022-10-08,15.440224596488314
Option_17,2022-10-09,15.312858011875203
Option_17,2022-10-10,14.460172242835803
Option_17,2022-10-11,15.194235840297935
Option_17,2022-10-12,14.573163957307978
Option_17,2022-10-13,16.509177409566902
Option_18,2022-09-16,2.4151807784412687
Option_18,2022-09-17,2.715409629854854
Option_18,2022-09-18,2.7066352473270854
Option_18,2022-09-19,2.9409821904509257
Option_18,2022-09-20,3.1790899455446793
Option_18,2022-09-21,3.093965605191522
Option_18,2022-09-22,4.459126331260269
Option_18,2022-09-23,2.9099442263274145
Option_18,2022-09-24,3.174788311934888
Option_18,2022-09-25,2.8879966237136125
Option_18,2022-09-26,3.0301881808676776
Option_18,2022-09-27,3.065214060166909
Option_18,2022-09-28,2.900692000611635
Option_18,2022-09-29,4.258146422861903
Option_18,2022-09-30,2.4969372120127256
Option_18,2022-10-01,2.6378161760640624
Option_18,2022-10-02,2.3521212452977935
Option_18,2022-10-03,2.4829720191236784
Option_18,2022-10-04,2.5028455066346513
Option_18,2022-10-05,2.348198267888605
Option_18,2022-10-06,3.5144416644338605
Option_18,2022-10-07,1.9410941919714144
Option_18,2022-10-08,2.133706419612886
Option_18,2022-10-09,1.9213381376056327
Option_18,2022-10-10,2.082623795700298
Option_18,2022-10-11,2.2725390269297954
Option_18,2022-10-12,2.210899767951235
Option_18,2022-10-13,3.7350246228609993
Option_19,2022-09-16,1.6921434281332475
Option_19,2022-09-17,1.9250957810661435
Option_19,2022-09-18,2.3308799828794364
Option_19,2022-09-19,2.039079641600096
Option_19,2022-09-20,1.8881235047939735
Option_19,2022-09-21,2.2221109582466867
Option_19,2022-09-22,3.1665122649359607
Option_19,2022-09-23,2.1582606151960793
Option_19,2022-09-24,2.2754112642760984
Option_19,2022-09-25,2.5439010872117223
Option_19,2022-09-26,2.135141674749261
