origin,split,model,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
2022-07-28,selection,bottomup_mix,0.5336827180862034,4849.0,3922.66,2439.235,-926.3399999999999,-0.19103732728397607,672.0
2022-07-28,selection,cate2_mix,0.5725449999596097,4849.0,3922.66,2248.1213412518855,-926.3400000000001,-0.1910373272839761,672.0
2022-07-28,selection,cate2_prophet,0.6446180870741129,4849.0,4966.71312888647,1920.7191165100432,117.71312888647039,0.02427575353402153,672.0
2022-07-28,selection,ensemble,0.6442824404935462,4849.0,4737.479226906531,1933.5338249287774,-111.5207730934683,-0.02299871583697016,672.0
2022-07-28,selection,ensemble_bias_global,0.6194132796847817,4849.0,5344.832281656955,2080.874880013816,495.83228165695573,0.10225454354649531,672.0
2022-07-28,selection,ensemble_bias_horizon,0.6216579252593707,4849.0,5349.278159431175,2068.9901060602506,500.2781594311749,0.10317140842053514,672.0
2022-07-28,selection,ensemble_bias_item,0.6473479102495119,4849.0,5179.4585630643,1936.0167248349383,330.4585630642992,0.06814983771175484,672.0
2022-07-28,selection,ensemble_residual_beta_0.3,0.6400607436298815,4849.0,4847.934506488062,1958.63790232273,-1.0654935119385556,-0.00021973469002651178,672.0
2022-07-28,selection,ensemble_residual_beta_0.5,0.6362394056956103,4849.0,4921.571359542415,1980.25628283404,72.57135954241431,0.014966252741269193,672.0
2022-07-28,selection,ensemble_residual_beta_0.7,0.6317524677703741,4849.0,4995.208212596767,2005.1021577015385,146.20821259676725,0.03015224017256491,672.0
2022-07-28,selection,ensemble_residual_beta_0.9,0.6262980662710967,4849.0,5068.8450656511195,2034.6392634395631,219.84506565112048,0.045338227603860685,672.0
2022-07-28,selection,ensemble_shape_0.30_level_light,0.6228799899213474,4849.0,5033.705002743238,2047.405699512276,184.7050027432387,0.038091359608834544,672.0
2022-07-28,selection,ensemble_shape_0.30_level_medium,0.6217684335023067,4849.0,5045.850588886351,2053.9308644471116,196.85058888635083,0.040596120619993986,672.0
2022-07-28,selection,ensemble_shape_0.30_level_off,0.6244807412491813,4849.0,5014.80215460357,2037.9111359396918,165.80215460356987,0.034193061374215274,672.0
2022-07-28,selection,ensemble_shape_0.30_level_strong,0.6209727729070266,4849.0,5054.348279493965,2058.622534364864,205.34827949396407,0.042348583108674794,672.0
2022-07-28,selection,ensemble_shape_0.45_level_light,0.6052154907269973,4849.0,5175.684034793272,2137.3237259582947,326.6840347932722,0.06737142396231639,672.0
2022-07-28,selection,ensemble_shape_0.45_level_medium,0.6043406239096648,4849.0,5185.047428265476,2142.5372435779545,336.0474282654759,0.06930241869776776,672.0
2022-07-28,selection,ensemble_shape_0.45_level_off,0.6064915633433756,4849.0,5161.608842792286,2129.677518348788,312.6088427922854,0.06446872402398131,672.0
2022-07-28,selection,ensemble_shape_0.45_level_strong,0.6036865015750205,4849.0,5191.808102588038,2146.4301772860076,342.8081025880381,0.07069665963869624,672.0
2022-07-28,selection,ensemble_shape_0.60_level_light,0.5845487432112771,4849.0,5316.348322768126,2240.768397574279,467.34832276812597,0.09638035115861537,672.0
