model,horizon,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
bottomup_mix,1,0.6361914257228314,1003.0,939.6,430.6,-63.39999999999999,-0.06321036889332003,144.0
bottomup_mix,2,0.5420570264765784,982.0,886.5,490.29999999999995,-95.5,-0.09725050916496945,144.0
bottomup_mix,3,0.5342922899884925,869.0,759.5,437.1,-109.49999999999997,-0.12600690448791713,144.0
bottomup_mix,4,0.522037422037422,962.0,795.3,524.5,-166.7,-0.17328482328482328,144.0
bottomup_mix,5,0.5341796874999999,1024.0,937.1,526.3,-86.89999999999999,-0.08486328124999999,144.0
bottomup_mix,6,0.6014851485148515,1010.0,904.7,435.7,-105.30000000000001,-0.10425742574257427,144.0
bottomup_mix,7,0.6150571131879543,963.0,783.8000000000001,416.6,-179.2,-0.18608515057113187,144.0
bottomup_mix,8,0.6738571428571428,1050.0,923.3000000000001,395.50000000000006,-126.70000000000002,-0.12066666666666669,144.0
bottomup_mix,9,0.519802445907808,1063.0,875.6500000000001,545.75,-187.35000000000002,-0.17624647224835374,144.0
bottomup_mix,10,0.5601344364012409,967.0,753.75,466.34999999999997,-213.25,-0.22052740434332987,144.0
bottomup_mix,11,0.5363550519357885,1059.0,794.85,537.45,-264.15,-0.24943342776203964,144.0
bottomup_mix,12,0.5557272727272727,1100.0,928.05,536.8499999999999,-171.95000000000005,-0.15631818181818186,144.0
bottomup_mix,13,0.541683366733467,998.0,908.0500000000001,488.15,-89.94999999999999,-0.09013026052104207,144.0
bottomup_mix,14,0.6050759013282733,1054.0,785.1000000000001,441.59999999999997,-268.90000000000003,-0.2551233396584441,144.0
bottomup_mix,15,0.6494083629893239,1124.0,924.9300000000001,442.54999999999995,-199.07,-0.1771085409252669,144.0
bottomup_mix,16,0.5052371541501977,1012.0,869.1750000000001,537.275,-142.825,-0.14113142292490116,144.0
bottomup_mix,17,0.5299540441176471,1088.0,759.325,549.9350000000001,-328.675,-0.30209099264705885,144.0
bottomup_mix,18,0.5216558441558442,1078.0,792.2149999999999,553.895,-285.785,-0.2651066790352505,144.0
bottomup_mix,19,0.5330336058128973,1101.0,931.1550000000001,570.825,-169.84499999999997,-0.15426430517711168,144.0
bottomup_mix,20,0.5100194931773879,1026.0,906.635,528.585,-119.365,-0.1163401559454191,144.0
