model,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
ensemble_bias_item,0.6308732165774396,30693.0,30576.506634077894,12589.943073618113,-116.49336592210466,-0.0037954375890953853,4032.0
ensemble,0.625763462353535,30693.0,27539.28865231486,12624.999658576795,-3153.711347685141,-0.10275018237660512,4032.0
ensemble_residual_beta_0.3,0.6242187083491935,30693.0,27865.821497913705,12688.724910633242,-2827.178502086295,-0.09211150757782866,4032.0
ensemble_residual_beta_0.5,0.622260090427006,30693.0,28083.510061646266,12759.715515453083,-2609.4899383537318,-0.08501905771197771,4032.0
ensemble_residual_beta_0.7,0.6196760626879867,30693.0,28301.198625378835,12849.901823780936,-2391.8013746211673,-0.07792660784612672,4032.0
item_prophet,0.6181178661600191,30693.0,28541.072937744168,12872.661878539484,-2151.927062255833,-0.07011133034424243,4032.0
ensemble_residual_beta_0.9,0.6168173478691076,30693.0,28505.508523881494,12947.687143646108,-2187.491476118506,-0.07127004450912279,4032.0
ensemble_shape_0.30_level_off,0.6156960138135478,30693.0,28795.259690911946,12986.469972040759,-1897.7403090880553,-0.06182974323422459,4032.0
ensemble_bias_global,0.6155859339695131,30693.0,31315.42249103076,13093.495347960044,622.4224910307637,0.02027897211190707,4032.0
ensemble_bias_horizon,0.6153407194463367,30693.0,31322.406899532274,13097.85810496672,629.4068995322779,0.0205065291607949,4032.0
ensemble_shape_0.30_level_light,0.6147752645850385,30693.0,29033.365962969798,13035.625903936942,-1659.6340370302007,-0.054072069756302764,4032.0
ensemble_shape_0.30_level_medium,0.6140124616726502,30693.0,29180.18455792888,13072.273386645982,-1512.8154420711212,-0.049288614409511,4032.0
ensemble_shape_0.30_level_strong,0.6134955277146312,30693.0,29279.20029548826,13097.352107351442,-1413.7997045117409,-0.04606261051418046,4032.0
hybrid_short_residual_beta_0.5,0.6134880170216618,30693.0,28936.112402310548,13061.637489157256,-1756.8875976894526,-0.057240660661696564,4032.0
hybrid_short_residual_beta_0.7,0.6126444526366899,30693.0,29027.856410006556,13092.796861160967,-1665.1435899934447,-0.054251574951729865,4032.0
hybrid_short_residual_beta_0.9,0.6116021608993784,30693.0,29119.60041770256,13130.055771790037,-1573.399582297437,-0.05126248924176317,4032.0
item_prophet_shape_0.30_level_off,0.6070755222741754,30693.0,29309.437274228305,13243.603650549832,-1383.562725771696,-0.04507746801458626,4032.0
item_prophet_shape_0.30_level_light,0.6055465345985063,30693.0,29631.980190427108,13320.463354179577,-1061.0198095728897,-0.03456878798334766,4032.0
ensemble_shape_0.45_level_off,0.6046151394959571,30693.0,29411.548825750673,13351.916503047061,-1281.451174249326,-0.04175060027528511,4032.0
item_prophet_shape_0.30_level_medium,0.6040469792870673,30693.0,29824.116483989645,13385.059011878391,-868.8835160103533,-0.028308849444836064,4032.0
ensemble_shape_0.45_level_light,0.6040295621533835,30693.0,29634.31914109346,13388.712874929048,-1058.6808589065406,-0.03449258328956246,4032.0
ensemble_shape_0.45_level_medium,0.6034999886349094,30693.0,29765.92760231992,13416.680519462963,-927.072397680081,-0.030204685031768843,4032.0
ensemble_shape_0.45_level_strong,0.6030617771486931,30693.0,29855.161277307197,13438.296610494323,-837.8387226928035,-0.027297387765705648,4032.0
item_prophet_shape_0.30_level_strong,0.6030490274506551,30693.0,29955.30762542469,13428.792323571706,-737.6923745753096,-0.0240345477657873,4032.0
item_prophet_shape_0.45_level_off,0.5953273466597133,30693.0,29815.625913032665,13622.496597472184,-877.3740869673375,-0.028585478349048236,4032.0
item_prophet_shape_0.45_level_light,0.5940429589659058,30693.0,30128.5575907957,13690.423570956891,-564.4424092043014,-0.018389939373938728,4032.0
cate2_prophet,0.5933630054009125,30693.0,27279.32389668355,13561.25881195837,-3413.6761033164503,-0.11122002095971233,4032.0
item_prophet_shape_0.45_level_medium,0.5927068080718919,30693.0,30306.052190216218,13748.815441235623,-386.9478097837815,-0.012607037754008454,4032.0
item_prophet_shape_0.45_level_strong,0.5918459155266453,30693.0,30430.13004254266,13787.522828479821,-262.8699574573399,-0.00856449214665689,4032.0
ensemble_shape_0.60_level_off,0.5911205553059473,30693.0,29950.06672272824,13781.904647355277,-742.9332772717622,-0.024205300142435156,4032.0
ensemble_shape_0.60_level_light,0.5908565638929862,30693.0,30168.06711348243,13808.336319072276,-524.9328865175717,-0.017102690728099945,4032.0
ensemble_shape_0.60_level_medium,0.5903585398285818,30693.0,30293.2688409268,13834.774970257413,-399.7311590732005,-0.013023528461642736,4032.0
ensemble_shape_0.60_level_strong,0.5900080790760921,30693.0,30373.82023344859,13853.151692349016,-319.17976655141047,-0.010399106198527693,4032.0
cate2_mix,0.5848669490442777,30693.0,25622.375,13873.64716020937,-5070.625,-0.1652046069136285,4032.0
item_prophet_shape_0.60_level_off,0.581549421264108,30693.0,30280.751210474635,14056.780108639548,-412.2487895253638,-0.013431361858578954,4032.0
item_prophet_shape_0.60_level_light,0.5806693208944035,30693.0,30585.865935920567,14111.700020855362,-107.13406407943434,-0.0034905048082440404,4032.0
item_prophet_shape_0.60_level_medium,0.5794999625490823,30693.0,30759.79759745354,14164.565467396475,66.79759745354045,0.002176313734517331,4032.0
item_prophet_shape_0.60_level_strong,0.5787620180850278,30693.0,30875.54444651868,14198.94389503284,182.5444465186834,0.005947429267868354,4032.0
bottomup_mix,0.5519769980125762,30693.0,25622.375,14893.595000000001,-5070.625,-0.1652046069136285,4032.0
