origin,split,model,bucket,score,n_rows,actual_sum
2022-04-14,selection,ensemble_bucket_selected,1-7,0.46372033416332253,168.0,222.0
2022-04-14,selection,ensemble_bucket_selected,15-21,0.395619977985274,168.0,218.0
2022-04-14,selection,ensemble_bucket_selected,22-28,0.44323348526220957,168.0,327.0
2022-04-14,selection,ensemble_bucket_selected,8-14,0.5069100511493514,168.0,301.0
2022-04-14,selection,ensemble_selected,1-7,0.4606211287833312,168.0,222.0
2022-04-14,selection,ensemble_selected,15-21,0.3760954061252021,168.0,218.0
2022-04-14,selection,ensemble_selected,22-28,0.44323348526220957,168.0,327.0
2022-04-14,selection,ensemble_selected,8-14,0.5069100511493514,168.0,301.0
2022-04-14,selection,etr,1-7,0.4606211287833312,168.0,222.0
2022-04-14,selection,etr,15-21,0.3760954061252021,168.0,218.0
2022-04-14,selection,etr,22-28,0.44323348526220957,168.0,327.0
2022-04-14,selection,etr,8-14,0.5069100511493514,168.0,301.0
2022-04-14,selection,item_topdown,1-7,0.43261692542195723,168.0,222.0
2022-04-14,selection,item_topdown,15-21,0.4498972130741206,168.0,218.0
2022-04-14,selection,item_topdown,22-28,0.3706591871929301,168.0,327.0
2022-04-14,selection,item_topdown,8-14,0.4700805089251453,168.0,301.0
2022-04-14,selection,lgbm,1-7,0.42754900717630234,168.0,222.0
2022-04-14,selection,lgbm,15-21,0.438529965466088,168.0,218.0
2022-04-14,selection,lgbm,22-28,0.34454669057952975,168.0,327.0
2022-04-14,selection,lgbm,8-14,0.4557569654841122,168.0,301.0
2022-04-14,selection,wbaseline,1-7,0.3719007787035385,168.0,222.0
2022-04-14,selection,wbaseline,15-21,0.45410803587195175,168.0,218.0
2022-04-14,selection,wbaseline,22-28,0.31903218314476367,168.0,327.0
2022-04-14,selection,wbaseline,8-14,0.4189519464357695,168.0,301.0
2022-04-21,selection,ensemble_bucket_selected,1-7,0.5048096243849401,168.0,301.0
2022-04-21,selection,ensemble_bucket_selected,15-21,0.4438039679393037,168.0,327.0
2022-04-21,selection,ensemble_bucket_selected,22-28,0.5175356493890763,168.0,327.0
2022-04-21,selection,ensemble_bucket_selected,8-14,0.3463802607775822,168.0,218.0
2022-04-21,selection,ensemble_selected,1-7,0.5159547530936754,168.0,301.0
2022-04-21,selection,ensemble_selected,15-21,0.4478216493512474,168.0,327.0
2022-04-21,selection,ensemble_selected,22-28,0.5175356493890763,168.0,327.0
2022-04-21,selection,ensemble_selected,8-14,0.3463802607775822,168.0,218.0
2022-04-21,selection,etr,1-7,0.5159547530936754,168.0,301.0
2022-04-21,selection,etr,15-21,0.4478216493512474,168.0,327.0
2022-04-21,selection,etr,22-28,0.5175356493890763,168.0,327.0
