key,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,contribution_share,attribution_level
2022-07-22 00:00:00,129.0,139.8232879553664,49.59827876180547,10.8232879553664,0.003928576641830709,day
2022-07-23 00:00:00,195.0,131.74783897585465,82.28184090152563,-63.252161024145344,0.006517373713006594,day
2022-07-24 00:00:00,117.0,127.39690269669369,70.34971036110682,10.396902696693692,0.005572254436721092,day
2022-07-25 00:00:00,171.0,128.9679173532771,70.00826881515052,-42.03208264672289,0.005545209561062474,day
2022-07-26 00:00:00,152.0,139.39998485437653,49.60929306071801,-12.600015145623477,0.003929449061570146,day
2022-07-27 00:00:00,189.0,148.90511722983942,82.29759680216598,-40.094882770160574,0.006518621705170273,day
2022-07-28 00:00:00,154.0,148.17004139422747,57.17951688908087,-5.82995860577253,0.004529070767161246,day
2022-07-29 00:00:00,318.0,302.49618623415915,113.07056468910015,-15.503813765840837,0.00895608457401309,day
2022-07-30 00:00:00,282.0,297.95460727889804,157.1680283369184,15.95460727889805,0.012448953076220189,day
2022-07-31 00:00:00,230.0,286.8277108194986,130.16346919105823,56.82771081949858,0.010309978036524671,day
2022-08-01 00:00:00,276.0,298.96305960158605,112.0172797661183,22.963059601586068,0.008872656063005859,day
2022-08-02 00:00:00,224.0,305.0751005881358,136.63926857429163,81.07510058813577,0.010822912655008725,day
2022-08-03 00:00:00,294.0,334.066529015151,115.63529441037491,40.06652901515097,0.009159231488122699,day
2022-08-04 00:00:00,344.0,333.42116358306697,92.45537076437378,-10.578836416933019,0.007323197882351166,day
2022-08-05 00:00:00,552.0,477.49542176935375,198.04179725801743,-74.50457823064625,0.01568647941495014,day
2022-08-06 00:00:00,558.0,469.7054458022135,211.22049780070387,-88.29455419778654,0.016730336911907256,day
2022-08-07 00:00:00,543.0,443.6572648995454,183.39200716822972,-99.34273510045459,0.014526099970517016,day
2022-08-08 00:00:00,414.0,465.55437898573206,143.02702401474292,51.55437898573206,0.011328873495658077,day
2022-08-09 00:00:00,780.0,469.7591243614257,343.5764810393681,-310.2408756385743,0.027213979432146707,day
2022-08-10 00:00:00,495.0,505.98544087837814,139.22474584920627,10.98544087837817,0.011027702939748115,day
2022-08-11 00:00:00,438.0,509.75378439993864,204.61679079248518,71.75378439993861,0.01620727099612068,day
2022-08-12 00:00:00,788.0,665.388066885198,274.5356119906993,-122.61193311480199,0.021745395597234214,day
2022-08-13 00:00:00,736.0,641.2298727262328,298.26105830171605,-94.77012727376726,0.023624638920215126,day
2022-08-14 00:00:00,636.0,605.7086668404476,376.8476498862531,-30.29133315955239,0.029849319610099286,day
2022-08-15 00:00:00,732.0,622.3856876380447,347.008856591601,-109.6143123619553,0.02748585077036897,day
2022-08-16 00:00:00,768.0,638.9292000567713,298.0479099984202,-129.07079994322874,0.02360775588583413,day
2022-08-17 00:00:00,680.0,673.5259053896453,277.29769656679724,-6.474094610354636,0.021964174579475335,day
2022-08-18 00:00:00,744.0,679.7045846916313,227.3340052846098,-64.2954153083686,0.018006654370891044,day
2022-08-19 00:00:00,724.0,660.705025191537,299.4270430716239,-63.294974808463074,0.023716994152012363,day
2022-08-20 00:00:00,668.0,663.2407840677317,270.450902048777,-4.759215932268245,0.02142185420694615,day
2022-08-21 00:00:00,848.0,607.1072285285017,350.71211871034586,-240.89277147149832,0.027779178470875406,day
