model,horizon,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
bottomup_mix,1,0.6571174377224198,1124.0,1007.3,434.1,-116.69999999999999,-0.10382562277580071,144.0
bottomup_mix,2,0.5189723320158103,1012.0,991.5,522.3,-20.499999999999993,-0.020256916996047425,144.0
bottomup_mix,3,0.6008272058823528,1088.0,898.8000000000001,469.59999999999997,-189.19999999999996,-0.17389705882352938,144.0
bottomup_mix,4,0.5162337662337663,1078.0,974.3000000000001,587.3,-103.69999999999999,-0.09619666048237475,144.0
bottomup_mix,5,0.525794732061762,1101.0,1043.2,586.0,-57.8,-0.05249772933696639,144.0
bottomup_mix,6,0.5524366471734893,1026.0,983.2,492.0,-42.800000000000004,-0.041715399610136455,144.0
bottomup_mix,7,0.6533031674208145,1105.0,966.6999999999999,420.9,-138.3,-0.125158371040724,144.0
bottomup_mix,8,0.665619621342513,1162.0,1014.8500000000001,425.05000000000007,-147.14999999999998,-0.1266351118760757,144.0
bottomup_mix,9,0.4908644400785855,1018.0,997.05,551.95,-20.94999999999999,-0.020579567779960697,144.0
bottomup_mix,10,0.5854094076655053,1148.0,892.6999999999999,516.8,-255.3,-0.22238675958188153,144.0
bottomup_mix,11,0.533152664859982,1107.0,972.45,571.55,-134.54999999999995,-0.12154471544715444,144.0
bottomup_mix,12,0.5300748752079868,1202.0,1050.6000000000001,616.6999999999999,-151.4,-0.1259567387687188,144.0
bottomup_mix,13,0.5160133843212237,1046.0,981.6,534.6,-64.4,-0.0615678776290631,144.0
bottomup_mix,14,0.62601908065915,1153.0,969.95,466.65,-183.05,-0.15875975715524718,144.0
bottomup_mix,15,0.6288158995815899,1195.0,1010.215,482.24500000000006,-184.785,-0.1546317991631799,144.0
bottomup_mix,16,0.5055628140703518,995.0,992.375,524.005,-2.6249999999999574,-0.0026381909547738263,144.0
bottomup_mix,17,0.5758298230834036,1187.0,889.79,551.22,-297.21,-0.25038753159224936,144.0
bottomup_mix,18,0.5647297297297297,1184.0,970.9150000000001,559.175,-213.08499999999998,-0.17997043918918917,144.0
bottomup_mix,19,0.5156519823788546,1135.0,1043.06,601.99,-91.93999999999997,-0.08100440528634359,144.0
bottomup_mix,20,0.4696219281663516,1058.0,987.76,587.21,-70.24,-0.06638941398865784,144.0
bottomup_mix,21,0.5758881064162753,1278.0,967.5849999999999,590.685,-310.415,-0.2428912363067293,144.0
bottomup_mix,22,0.5732726130653266,1194.0,1019.5625000000001,549.9975000000001,-174.43749999999994,-0.1460950586264656,144.0
bottomup_mix,23,0.4313144083969466,1048.0,1007.9024999999999,650.2775000000001,-40.09749999999997,-0.03826097328244272,144.0
bottomup_mix,24,0.5789536679536679,1295.0,906.105,593.45,-388.8950000000001,-0.3003050193050194,144.0
bottomup_mix,25,0.5443472906403941,1218.0,988.9925000000001,619.8924999999999,-229.00750000000005,-0.18801929392446637,144.0
bottomup_mix,26,0.44954132606721164,1101.0,1056.71,662.375,-44.29000000000001,-0.04022706630336059,144.0
bottomup_mix,27,0.4852376425855513,1052.0,987.96,568.395,-64.03999999999999,-0.06087452471482889,144.0
bottomup_mix,28,0.5564186656671664,1334.0,985.5775000000001,636.7875,-348.4225,-0.2611862818590705,144.0
cate2_mix,1,0.7085103335315959,1124.0,1007.3,389.64481230774084,-116.70000000000002,-0.10382562277580072,144.0
cate2_mix,2,0.5733626565391446,1012.0,991.5,467.72951555829695,-20.499999999999957,-0.02025691699604739,144.0
cate2_mix,3,0.6233616695042025,1088.0,898.8000000000001,448.2942695996367,-189.20000000000002,-0.17389705882352943,144.0
cate2_mix,4,0.5812261322170698,1078.0,974.3000000000001,497.96102797357037,-103.69999999999999,-0.09619666048237475,144.0
cate2_mix,5,0.5564155893668378,1101.0,1043.2,555.4185549562153,-57.79999999999996,-0.05249772933696636,144.0
cate2_mix,6,0.5963309789216109,1026.0,983.1999999999999,441.49949978220513,-42.80000000000002,-0.04171539961013647,144.0
cate2_mix,7,0.6597895443595124,1105.0,966.7,406.29388502270103,-138.3,-0.125158371040724,144.0
cate2_mix,8,0.6904953915266653,1162.0,1014.8499999999999,413.27478683138327,-147.14999999999998,-0.1266351118760757,144.0
cate2_mix,9,0.5542272160777613,1018.0,997.05,487.6966047863493,-20.949999999999967,-0.020579567779960676,144.0
cate2_mix,10,0.6226296176243724,1148.0,892.6999999999999,477.09853998574124,-255.30000000000007,-0.2223867595818816,144.0
cate2_mix,11,0.5760490902594496,1107.0,972.4499999999999,514.2384987100609,-134.55,-0.12154471544715448,144.0
cate2_mix,12,0.5543600885043749,1202.0,1050.6,588.157432755755,-151.40000000000003,-0.12595673876871882,144.0
cate2_mix,13,0.5725785958091487,1046.0,981.6,470.8212147975738,-64.39999999999996,-0.061567877629063066,144.0
cate2_mix,14,0.6174115743265695,1153.0,969.9499999999998,472.5349424974829,-183.05,-0.15875975715524718,144.0
cate2_mix,15,0.6405924891189264,1195.0,1010.215,478.40877039632016,-184.78499999999997,-0.1546317991631799,144.0
