origin,split,model,bucket,score,n_rows,actual_sum
2022-08-18 00:00:00,holdout,item_topdown,15-21,0.6066170095092993,168.0,1350.0
2022-08-18 00:00:00,holdout,item_topdown,22-28,0.5811845800676073,168.0,1286.0
2022-08-18 00:00:00,holdout,item_topdown,8-14,0.6623854305112138,168.0,1335.0
2022-08-18 00:00:00,holdout,lgbm,1-7,0.6471184009878591,168.0,1334.0
2022-08-18 00:00:00,holdout,lgbm,15-21,0.5864785513523095,168.0,1350.0
2022-08-18 00:00:00,holdout,lgbm,22-28,0.6004793836358833,168.0,1286.0
2022-08-18 00:00:00,holdout,lgbm,8-14,0.670230253636098,168.0,1335.0
2022-08-18 00:00:00,holdout,wbaseline,1-7,0.5775858504551171,168.0,1334.0
2022-08-18 00:00:00,holdout,wbaseline,15-21,0.5898506960252301,168.0,1350.0
2022-08-18 00:00:00,holdout,wbaseline,22-28,0.5516839358308803,168.0,1286.0
2022-08-18 00:00:00,holdout,wbaseline,8-14,0.6387742356672605,168.0,1335.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,1-7,0.6612406910999792,168.0,1334.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,15-21,0.6335943883793288,168.0,1350.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,22-28,0.6438503381100843,168.0,1286.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,8-14,0.679044538389663,168.0,1335.0
ALL_HOLDOUT,holdout,ensemble_selected,1-7,0.6630116002679411,168.0,1334.0
ALL_HOLDOUT,holdout,ensemble_selected,15-21,0.626939844318162,168.0,1350.0
ALL_HOLDOUT,holdout,ensemble_selected,22-28,0.6438503381100843,168.0,1286.0
ALL_HOLDOUT,holdout,ensemble_selected,8-14,0.6793947172823626,168.0,1335.0
ALL_HOLDOUT,holdout,etr,1-7,0.6643260849409449,168.0,1334.0
ALL_HOLDOUT,holdout,etr,15-21,0.633009699768926,168.0,1350.0
ALL_HOLDOUT,holdout,etr,22-28,0.6429356274940243,168.0,1286.0
ALL_HOLDOUT,holdout,etr,8-14,0.679323902107543,168.0,1335.0
ALL_HOLDOUT,holdout,item_topdown,1-7,0.6152346137874235,168.0,1334.0
ALL_HOLDOUT,holdout,item_topdown,15-21,0.6066170095092993,168.0,1350.0
ALL_HOLDOUT,holdout,item_topdown,22-28,0.5811845800676073,168.0,1286.0
ALL_HOLDOUT,holdout,item_topdown,8-14,0.6623854305112138,168.0,1335.0
ALL_HOLDOUT,holdout,lgbm,1-7,0.6471184009878591,168.0,1334.0
ALL_HOLDOUT,holdout,lgbm,15-21,0.5864785513523095,168.0,1350.0
ALL_HOLDOUT,holdout,lgbm,22-28,0.6004793836358833,168.0,1286.0
ALL_HOLDOUT,holdout,lgbm,8-14,0.670230253636098,168.0,1335.0
ALL_HOLDOUT,holdout,wbaseline,1-7,0.5775858504551171,168.0,1334.0
ALL_HOLDOUT,holdout,wbaseline,15-21,0.5898506960252301,168.0,1350.0
ALL_HOLDOUT,holdout,wbaseline,22-28,0.5516839358308803,168.0,1286.0
ALL_HOLDOUT,holdout,wbaseline,8-14,0.6387742356672605,168.0,1335.0
ALL_SELECTION,selection,ensemble_bucket_selected,1-7,0.632106818636114,336.0,2531.0
ALL_SELECTION,selection,ensemble_bucket_selected,15-21,0.647546632813163,336.0,2669.0
ALL_SELECTION,selection,ensemble_bucket_selected,22-28,0.6342763208116617,336.0,2685.0
ALL_SELECTION,selection,ensemble_bucket_selected,8-14,0.6337474773098817,336.0,2605.0
ALL_SELECTION,selection,ensemble_selected,1-7,0.6318126854793739,336.0,2531.0
ALL_SELECTION,selection,ensemble_selected,15-21,0.6464826653365691,336.0,2669.0
ALL_SELECTION,selection,ensemble_selected,22-28,0.6342763208116617,336.0,2685.0
ALL_SELECTION,selection,ensemble_selected,8-14,0.6333612538778344,336.0,2605.0
ALL_SELECTION,selection,etr,1-7,0.6313855576266503,336.0,2531.0
ALL_SELECTION,selection,etr,15-21,0.6464718848648592,336.0,2669.0
ALL_SELECTION,selection,etr,22-28,0.6331709463640661,336.0,2685.0
ALL_SELECTION,selection,etr,8-14,0.6311536457422632,336.0,2605.0
ALL_SELECTION,selection,item_topdown,1-7,0.6011267917497155,336.0,2531.0
ALL_SELECTION,selection,item_topdown,15-21,0.5793870507054559,336.0,2669.0
ALL_SELECTION,selection,item_topdown,22-28,0.5601363524072761,336.0,2685.0
ALL_SELECTION,selection,item_topdown,8-14,0.5624055937398115,336.0,2605.0
ALL_SELECTION,selection,lgbm,1-7,0.6246521187043813,336.0,2531.0
ALL_SELECTION,selection,lgbm,15-21,0.6318118774964705,336.0,2669.0
ALL_SELECTION,selection,lgbm,22-28,0.617006769628625,336.0,2685.0
ALL_SELECTION,selection,lgbm,8-14,0.625804379494828,336.0,2605.0
ALL_SELECTION,selection,wbaseline,1-7,0.5720471678062652,336.0,2531.0
ALL_SELECTION,selection,wbaseline,15-21,0.5413012922466279,336.0,2669.0
ALL_SELECTION,selection,wbaseline,22-28,0.5488883429101862,336.0,2685.0
ALL_SELECTION,selection,wbaseline,8-14,0.5272024406975031,336.0,2605.0
