split,model,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
holdout,item_prophet,0.6415196547771821,10595.0,9729.075528039153,4179.722855384226,-865.9244719608464,-0.0817295395904527,1344.0
holdout,item_prophet_shape_0.30,0.634312324225404,10595.0,10357.226755830814,4280.127666472726,-237.77324416918603,-0.02244202398954092,1344.0
holdout,item_prophet_shape_0.45,0.6211830477368597,10595.0,10678.78449732696,4431.163640604207,83.78449732696095,0.007907928015758466,1344.0
holdout,item_prophet_shape_0.60,0.6078264902276237,10595.0,10932.378605499594,4580.3220120279875,337.3786054995935,0.031843190703123504,1344.0
holdout,cate2_mix,0.5865121526830165,10595.0,9363.7375,4820.744901621112,-1231.2625,-0.1162116564417178,1344.0
holdout,bottomup_mix,0.561373761208117,10595.0,9363.737500000001,5100.6175,-1231.2625,-0.1162116564417178,1344.0
holdout,ensemble_bias_item,0.5253728040685407,10595.0,8222.578213143703,5436.947066386022,-2372.421786856297,-0.22391899828752213,1344.0
holdout,ensemble,0.5164355951741502,10595.0,7907.278099083716,5493.759518758392,-2687.721900916284,-0.25367832948714336,1344.0
holdout,ensemble_bias_global,0.515939031390841,10595.0,8235.537910806594,5514.397038219383,-2359.462089193407,-0.22269580832405916,1344.0
holdout,ensemble_residual_beta_0.3,0.5148455242260439,10595.0,8047.280795331912,5519.735673164427,-2547.719204668088,-0.24046429491912108,1344.0
holdout,ensemble_bias_horizon,0.5144379257625817,10595.0,8224.746263746118,5528.473215619377,-2370.253736253883,-0.2237143686884269,1344.0
holdout,ensemble_residual_beta_0.5,0.5126011934795086,10595.0,8142.146853608056,5549.63280014154,-2452.853146391945,-0.2315104432649311,1344.0
holdout,ensemble_shape_0.30,0.5118034389350244,10595.0,8369.93989800958,5569.753127077543,-2225.0601019904216,-0.2100103918820596,1344.0
holdout,ensemble_residual_beta_0.7,0.5098423733448858,10595.0,8241.326725180927,5585.213787088565,-2353.6732748190734,-0.2221494360376662,1344.0
holdout,ensemble_residual_beta_0.9,0.5065927678587328,10595.0,8337.622868449627,5625.814562864348,-2257.377131550372,-0.213060607036373,1344.0
holdout,ensemble_shape_0.45,0.504172115436347,10595.0,8570.166127692963,5661.616110763278,-2024.8338723070385,-0.19111221069438777,1344.0
holdout,ensemble_shape_0.60,0.4970030020472688,10595.0,8710.087042699766,5744.281033880079,-1884.9129573002342,-0.17790589497878567,1344.0
holdout,cate2_prophet,0.491157648679265,10595.0,7543.163248854645,5744.217734454412,-3051.8367511453557,-0.28804499774849984,1344.0
selection,ensemble_bias_item,0.6514207967086099,18879.0,18807.526262741547,7426.198426636299,-71.47373725845438,-0.0037858857597571046,2688.0
selection,ensemble,0.6434737999689796,18879.0,18126.503071124927,7486.4320060210275,-752.4969288750729,-0.03985894003257974,2688.0
selection,ensemble_bias_horizon,0.6411020451813617,18879.0,18879.0,7559.217327362596,1.7053025658242404e-13,9.032801344479265e-18,2688.0
selection,cate2_prophet,0.6406653988002706,18879.0,19007.022588906155,7558.2578108081725,128.02258890615735,0.0067812166378599156,2688.0
selection,ensemble_residual_beta_0.3,0.640306223878213,18879.0,18250.912866940223,7550.3092512596695,-628.087133059777,-0.03326908909686832,2688.0
selection,ensemble_bias_global,0.6400065391690105,18879.0,18878.999999999996,7583.257036440328,-1.5347723092418164e-12,-8.129521210031339e-17,2688.0
selection,ensemble_residual_beta_0.5,0.6376284966590673,18879.0,18333.85273081709,7603.579780910631,-545.1472691829133,-0.028875855139727385,2688.0
selection,ensemble_residual_beta_0.7,0.6343574103769793,18879.0,18416.79259469395,7668.052336310877,-462.20740530604934,-0.024482621182586435,2688.0
selection,ensemble_residual_beta_0.9,0.6303182689333706,18879.0,18499.732458570812,7747.025005105472,-379.2675414291855,-0.020089387225445496,2688.0
selection,ensemble_shape_0.30,0.6286071396303873,18879.0,18544.733031546097,7778.752737660238,-334.2669684539035,-0.01770575604925597,2688.0
selection,ensemble_shape_0.45,0.6124185981636316,18879.0,18777.33613966738,8090.208767527252,-101.66386033261767,-0.005385023588782121,2688.0
selection,item_prophet,0.5951979086962642,18879.0,18156.22518048298,8443.119142215794,-722.7748195170223,-0.038284592378675895,2688.0
selection,ensemble_shape_0.60,0.5927430129069349,18879.0,18983.12175127116,8461.468778168892,104.12175127115631,0.005515215385939738,2688.0
selection,item_prophet_shape_0.30,0.5859523257721576,18879.0,18507.242072335495,8625.847446172884,-371.7579276645056,-0.01969161119045,2688.0
selection,cate2_mix,0.5739128847007132,18879.0,14604.425,8724.44852887827,-4274.575,-0.22641956671433866,2688.0
selection,item_prophet_shape_0.45,0.5731791301778829,18879.0,18706.06267667863,8871.089190334538,-172.9373233213734,-0.00916030103932271,2688.0
selection,item_prophet_shape_0.60,0.557415582573104,18879.0,18873.97037081584,9166.776736162148,-5.029629184157756,-0.0002664139617648051,2688.0
selection,bottomup_mix,0.543102521319985,18879.0,14604.425,9307.279999999999,-4274.575,-0.22641956671433866,2688.0
